+----+-------------+----------------+-----------+-------------+-------+-------------+
|    | Package     | Type           |      Corr |           p |   Lag |   scale_var |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           3 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           3 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           3 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           3 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           3 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           3 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           3 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           3 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           3 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           3 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           4 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           4 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           4 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           4 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           4 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           4 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           4 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           4 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           4 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           4 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           4 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           4 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           4 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           4 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           4 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           4 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           4 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           4 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           4 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           4 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           4 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           4 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           4 |
