+----+-----------------+----------------+---------------+---------------+-------+---------+
|    | Package         | Type           |          Corr |             p |   Lag |   alpha |
| 11 | lmtest          | Pearson        |  -0.529363    |   5.0942e-10  |     6 |       2 |
| 12 | lmtest          | Point-Biserial |  -0.254264    |   0.00243342  |     7 |       2 |
| 13 | lmtest          | Pearson        |  -0.490957    |   7.3457e-10  |     7 |       2 |
|  0 | VLTimeCausality | Point-Biserial |  -0.686887    |   0.000821613 |     1 |       2 |
|  1 | VLTimeCausality | Pearson        |  -0.919516    |   1.00214e-08 |     1 |       2 |
|  2 | VLTimeCausality | Point-Biserial |  -0.410214    |   0.00856406  |     2 |       2 |
|  3 | VLTimeCausality | Pearson        |  -0.606027    |   3.41017e-05 |     2 |       2 |
|  4 | VLTimeCausality | Point-Biserial |  -0.375982    |   0.003071    |     3 |       2 |
|  5 | VLTimeCausality | Pearson        |  -0.435736    |   0.000501723 |     3 |       2 |
|  6 | VLTimeCausality | Point-Biserial |  -0.336265    |   0.00229112  |     4 |       2 |
|  7 | VLTimeCausality | Pearson        |  -0.40171     |   0.000221355 |     4 |       2 |
|  8 | VLTimeCausality | Point-Biserial |  -0.378611    |   0.000102694 |     5 |       2 |
|  9 | VLTimeCausality | Pearson        |  -0.462641    |   1.25881e-06 |     5 |       2 |
| 10 | VLTimeCausality | Point-Biserial |  -0.330671    |   0.000225373 |     6 |       2 |
| 11 | VLTimeCausality | Pearson        |  -0.402022    |   5.32964e-06 |     6 |       2 |
| 12 | VLTimeCausality | Point-Biserial |  -0.333767    |   5.57849e-05 |     7 |       2 |
| 13 | VLTimeCausality | Pearson        |  -0.415978    |   3.19829e-07 |     7 |       2 |
|  0 | NlinTS          | Point-Biserial |   0.302153    |   0.195397    |     1 |       2 |
|  1 | NlinTS          | Pearson        |  -0.0695267   |   0.770849    |     1 |       2 |
|  2 | NlinTS          | Point-Biserial |   0.158226    |   0.329491    |     2 |       2 |
|  3 | NlinTS          | Pearson        |   0.229416    |   0.154442    |     2 |       2 |
|  4 | NlinTS          | Point-Biserial |   0.0539464   |   0.682265    |     3 |       2 |
|  5 | NlinTS          | Pearson        |   0.0802411   |   0.542223    |     3 |       2 |
|  6 | NlinTS          | Point-Biserial |   0.039085    |   0.730683    |     4 |       2 |
|  7 | NlinTS          | Pearson        |  -3.46945e-18 |   1           |     4 |       2 |
|  8 | NlinTS          | Point-Biserial |   0.0635149   |   0.530136    |     5 |       2 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |       2 |
| 10 | NlinTS          | Point-Biserial |   0.0408508   |   0.657766    |     6 |       2 |
| 11 | NlinTS          | Pearson        |  -0.0497106   |   0.589758    |     6 |       2 |
| 12 | NlinTS          | Point-Biserial |   0.0182924   |   0.830145    |     7 |       2 |
| 13 | NlinTS          | Pearson        |  -0.093897    |   0.269817    |     7 |       2 |
|  0 | statsmodels     | Point-Biserial |  -0.527426    |   0.0168557   |     1 |       4 |
|  1 | statsmodels     | Pearson        |  -0.66804     |   0.00128581  |     1 |       4 |
|  2 | statsmodels     | Point-Biserial |  -0.377708    |   0.0162681   |     2 |       4 |
|  3 | statsmodels     | Pearson        |  -0.480406    |   0.00170441  |     2 |       4 |
|  4 | statsmodels     | Point-Biserial |  -0.352789    |   0.00569733  |     3 |       4 |
|  5 | statsmodels     | Pearson        |  -0.424274    |   0.000729078 |     3 |       4 |
|  6 | statsmodels     | Point-Biserial |  -0.331993    |   0.00262517  |     4 |       4 |
|  7 | statsmodels     | Pearson        |  -0.455093    |   2.22298e-05 |     4 |       4 |
|  8 | statsmodels     | Point-Biserial |  -0.351301    |   0.00033866  |     5 |       4 |
|  9 | statsmodels     | Pearson        |  -0.401824    |   3.41628e-05 |     5 |       4 |
| 10 | statsmodels     | Point-Biserial |  -0.350728    |   8.58955e-05 |     6 |       4 |
| 11 | statsmodels     | Pearson        |  -0.397045    |   7.12677e-06 |     6 |       4 |
| 12 | statsmodels     | Point-Biserial |  -0.340232    |   3.90578e-05 |     7 |       4 |
| 13 | statsmodels     | Pearson        |  -0.31799     |   0.000128855 |     7 |       4 |
|  0 | vars            | Point-Biserial |  -0.559186    |   0.0103685   |     1 |       4 |
|  1 | vars            | Pearson        |  -0.720778    |   0.000336683 |     1 |       4 |
|  2 | vars            | Point-Biserial |  -0.416257    |   0.00754869  |     2 |       4 |
|  3 | vars            | Pearson        |  -0.60324     |   3.78771e-05 |     2 |       4 |
|  4 | vars            | Point-Biserial |  -0.318466    |   0.0131429   |     3 |       4 |
|  5 | vars            | Pearson        |  -0.486047    |   8.25005e-05 |     3 |       4 |
|  6 | vars            | Point-Biserial |  -0.309778    |   0.00516962  |     4 |       4 |
|  7 | vars            | Pearson        |  -0.50051     |   2.26971e-06 |     4 |       4 |
|  8 | vars            | Point-Biserial |  -0.331157    |   0.00076427  |     5 |       4 |
|  9 | vars            | Pearson        |  -0.539493    |   6.97098e-09 |     5 |       4 |
| 10 | vars            | Point-Biserial |  -0.310731    |   0.000551982 |     6 |       4 |
| 11 | vars            | Pearson        |  -0.529041    |   5.24144e-10 |     6 |       4 |
| 12 | vars            | Point-Biserial |  -0.27858     |   0.000859518 |     7 |       4 |
| 13 | vars            | Pearson        |  -0.487912    |   9.68369e-10 |     7 |       4 |
|  0 | lmtest          | Point-Biserial |  -0.559292    |   0.0103509   |     1 |       4 |
|  1 | lmtest          | Pearson        |  -0.720874    |   0.000335769 |     1 |       4 |
|  2 | lmtest          | Point-Biserial |  -0.416292    |   0.00754318  |     2 |       4 |
|  3 | lmtest          | Pearson        |  -0.603281    |   3.78191e-05 |     2 |       4 |
|  4 | lmtest          | Point-Biserial |  -0.318499    |   0.013133    |     3 |       4 |
|  5 | lmtest          | Pearson        |  -0.486077    |   8.24072e-05 |     3 |       4 |
|  6 | lmtest          | Point-Biserial |  -0.309784    |   0.00516874  |     4 |       4 |
|  7 | lmtest          | Pearson        |  -0.5005      |   2.2709e-06  |     4 |       4 |
|  8 | lmtest          | Point-Biserial |  -0.331167    |   0.000763955 |     5 |       4 |
|  9 | lmtest          | Pearson        |  -0.539533    |   6.94996e-09 |     5 |       4 |
| 10 | lmtest          | Point-Biserial |  -0.310719    |   0.000552274 |     6 |       4 |
| 11 | lmtest          | Pearson        |  -0.529085    |   5.22132e-10 |     6 |       4 |
| 12 | lmtest          | Point-Biserial |  -0.278578    |   0.000859596 |     7 |       4 |
| 13 | lmtest          | Pearson        |  -0.487977    |   9.62711e-10 |     7 |       4 |
|  0 | VLTimeCausality | Point-Biserial |  -0.700447    |   0.000583259 |     1 |       4 |
|  1 | VLTimeCausality | Pearson        |  -0.920844    |   8.67112e-09 |     1 |       4 |
|  2 | VLTimeCausality | Point-Biserial |  -0.41675     |   0.00747069  |     2 |       4 |
|  3 | VLTimeCausality | Pearson        |  -0.606347    |   3.36908e-05 |     2 |       4 |
|  4 | VLTimeCausality | Point-Biserial |  -0.383854    |   0.00246438  |     3 |       4 |
|  5 | VLTimeCausality | Pearson        |  -0.435718    |   0.000502033 |     3 |       4 |
|  6 | VLTimeCausality | Point-Biserial |  -0.341365    |   0.00194266  |     4 |       4 |
|  7 | VLTimeCausality | Pearson        |  -0.40172     |   0.000221265 |     4 |       4 |
|  8 | VLTimeCausality | Point-Biserial |  -0.384775    |   7.72829e-05 |     5 |       4 |
|  9 | VLTimeCausality | Pearson        |  -0.462657    |   1.25761e-06 |     5 |       4 |
| 10 | VLTimeCausality | Point-Biserial |  -0.337166    |   0.000166086 |     6 |       4 |
| 11 | VLTimeCausality | Pearson        |  -0.402061    |   5.31735e-06 |     6 |       4 |
| 12 | VLTimeCausality | Point-Biserial |  -0.33904     |   4.1736e-05  |     7 |       4 |
| 13 | VLTimeCausality | Pearson        |  -0.416028    |   3.18679e-07 |     7 |       4 |
|  0 | NlinTS          | Point-Biserial |   0.269615    |   0.250323    |     1 |       4 |
|  1 | NlinTS          | Pearson        |  -0.0571519   |   0.810851    |     1 |       4 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |       4 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |       4 |
|  4 | NlinTS          | Point-Biserial |   0.0600571   |   0.648515    |     3 |       4 |
|  5 | NlinTS          | Pearson        |   0.0764719   |   0.561416    |     3 |       4 |
|  6 | NlinTS          | Point-Biserial |   0.0392991   |   0.729265    |     4 |       4 |
|  7 | NlinTS          | Pearson        |   0           |   1           |     4 |       4 |
|  8 | NlinTS          | Point-Biserial |   0.0642224   |   0.525555    |     5 |       4 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |       4 |
| 10 | NlinTS          | Point-Biserial |   0.0772261   |   0.401824    |     6 |       4 |
| 11 | NlinTS          | Pearson        |   0.0762992   |   0.407514    |     6 |       4 |
| 12 | NlinTS          | Point-Biserial |   0.0295456   |   0.728944    |     7 |       4 |
| 13 | NlinTS          | Pearson        |  -0.0912713   |   0.283498    |     7 |       4 |
|  0 | statsmodels     | Point-Biserial |  -0.524718    |   0.0175325   |     1 |       6 |
|  1 | statsmodels     | Pearson        |  -0.666863    |   0.00132094  |     1 |       6 |
|  2 | statsmodels     | Point-Biserial |  -0.38579     |   0.0139483   |     2 |       6 |
|  3 | statsmodels     | Pearson        |  -0.497875    |   0.00107918  |     2 |       6 |
|  4 | statsmodels     | Point-Biserial |  -0.354677    |   0.00542685  |     3 |       6 |
|  5 | statsmodels     | Pearson        |  -0.437752    |   0.000469159 |     3 |       6 |
|  6 | statsmodels     | Point-Biserial |  -0.334384    |   0.00243323  |     4 |       6 |
|  7 | statsmodels     | Pearson        |  -0.462658    |   1.55417e-05 |     4 |       6 |
|  8 | statsmodels     | Point-Biserial |  -0.350572    |   0.000349114 |     5 |       6 |
|  9 | statsmodels     | Pearson        |  -0.415613    |   1.70746e-05 |     5 |       6 |
| 10 | statsmodels     | Point-Biserial |  -0.352958    |   7.68473e-05 |     6 |       6 |
| 11 | statsmodels     | Pearson        |  -0.408056    |   3.72338e-06 |     6 |       6 |
| 12 | statsmodels     | Point-Biserial |  -0.343401    |   3.27031e-05 |     7 |       6 |
| 13 | statsmodels     | Pearson        |  -0.329178    |   7.15038e-05 |     7 |       6 |
|  0 | vars            | Point-Biserial |  -0.560733    |   0.0101139   |     1 |       6 |
|  1 | vars            | Pearson        |  -0.723862    |   0.000308498 |     1 |       6 |
|  2 | vars            | Point-Biserial |  -0.422549    |   0.00660328  |     2 |       6 |
|  3 | vars            | Pearson        |  -0.60996     |   2.93544e-05 |     2 |       6 |
|  4 | vars            | Point-Biserial |  -0.32136     |   0.0122909   |     3 |       6 |
|  5 | vars            | Pearson        |  -0.48674     |   8.03142e-05 |     3 |       6 |
|  6 | vars            | Point-Biserial |  -0.311257    |   0.00494913  |     4 |       6 |
|  7 | vars            | Pearson        |  -0.499753    |   2.36416e-06 |     4 |       6 |
|  8 | vars            | Point-Biserial |  -0.334591    |   0.00066781  |     5 |       6 |
|  9 | vars            | Pearson        |  -0.539259    |   7.09674e-09 |     5 |       6 |
| 10 | vars            | Point-Biserial |  -0.315136    |   0.000455283 |     6 |       6 |
| 11 | vars            | Pearson        |  -0.529369    |   5.09151e-10 |     6 |       6 |
| 12 | vars            | Point-Biserial |  -0.283018    |   0.000703423 |     7 |       6 |
| 13 | vars            | Pearson        |  -0.487381    |   1.01598e-09 |     7 |       6 |
|  0 | lmtest          | Point-Biserial |  -0.560835    |   0.0100973   |     1 |       6 |
|  1 | lmtest          | Pearson        |  -0.723957    |   0.00030766  |     1 |       6 |
|  2 | lmtest          | Point-Biserial |  -0.422593    |   0.00659715  |     2 |       6 |
|  3 | lmtest          | Pearson        |  -0.610007    |   2.93014e-05 |     2 |       6 |
|  4 | lmtest          | Point-Biserial |  -0.321401    |   0.0122792   |     3 |       6 |
|  5 | lmtest          | Pearson        |  -0.486773    |   8.02125e-05 |     3 |       6 |
|  6 | lmtest          | Point-Biserial |  -0.311272    |   0.00494703  |     4 |       6 |
|  7 | lmtest          | Pearson        |  -0.499745    |   2.36514e-06 |     4 |       6 |
|  8 | lmtest          | Point-Biserial |  -0.334618    |   0.000667107 |     5 |       6 |
|  9 | lmtest          | Pearson        |  -0.539298    |   7.07553e-09 |     5 |       6 |
| 10 | lmtest          | Point-Biserial |  -0.315147    |   0.000455061 |     6 |       6 |
| 11 | lmtest          | Pearson        |  -0.529411    |   5.07237e-10 |     6 |       6 |
| 12 | lmtest          | Point-Biserial |  -0.283041    |   0.000702709 |     7 |       6 |
| 13 | lmtest          | Pearson        |  -0.487442    |   1.01033e-09 |     7 |       6 |
|  0 | VLTimeCausality | Point-Biserial |  -0.703316    |   0.000541193 |     1 |       6 |
|  1 | VLTimeCausality | Pearson        |  -0.921405    |   8.15006e-09 |     1 |       6 |
|  2 | VLTimeCausality | Point-Biserial |  -0.418314    |   0.00722762  |     2 |       6 |
|  3 | VLTimeCausality | Pearson        |  -0.606473    |   3.35305e-05 |     2 |       6 |
|  4 | VLTimeCausality | Point-Biserial |  -0.426994    |   0.000667997 |     3 |       6 |
|  5 | VLTimeCausality | Pearson        |  -0.638484    |   4.05284e-08 |     3 |       6 |
|  6 | VLTimeCausality | Point-Biserial |  -0.351151    |   0.00140453  |     4 |       6 |
|  7 | VLTimeCausality | Pearson        |  -0.552749    |   1.05883e-07 |     4 |       6 |
|  8 | VLTimeCausality | Point-Biserial |  -0.400643    |   3.62033e-05 |     5 |       6 |
|  9 | VLTimeCausality | Pearson        |  -0.623689    |   4.1696e-12  |     5 |       6 |
| 10 | VLTimeCausality | Point-Biserial |  -0.357347    |   6.15756e-05 |     6 |       6 |
| 11 | VLTimeCausality | Pearson        |  -0.56988     |   1.09644e-11 |     6 |       6 |
| 12 | VLTimeCausality | Point-Biserial |  -0.358191    |   1.3912e-05  |     7 |       6 |
| 13 | VLTimeCausality | Pearson        |  -0.589047    |   1.92986e-14 |     7 |       6 |
|  0 | NlinTS          | Point-Biserial |   0.253263    |   0.281308    |     1 |       6 |
|  1 | NlinTS          | Pearson        |  -0.044347    |   0.852722    |     1 |       6 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |       6 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |       6 |
|  4 | NlinTS          | Point-Biserial |   0.0629267   |   0.6329      |     3 |       6 |
|  5 | NlinTS          | Pearson        |   0.0764719   |   0.561416    |     3 |       6 |
|  6 | NlinTS          | Point-Biserial |   0.0393418   |   0.728982    |     4 |       6 |
|  7 | NlinTS          | Pearson        |   0           |   1           |     4 |       6 |
|  8 | NlinTS          | Point-Biserial |   0.06436     |   0.524667    |     5 |       6 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |       6 |
| 10 | NlinTS          | Point-Biserial |   0.0773496   |   0.401069    |     6 |       6 |
| 11 | NlinTS          | Pearson        |   0.0764719   |   0.406451    |     6 |       6 |
| 12 | NlinTS          | Point-Biserial |   0.032546    |   0.702656    |     7 |       6 |
| 13 | NlinTS          | Pearson        |  -0.0897838   |   0.291451    |     7 |       6 |
|  0 | statsmodels     | Point-Biserial |  -0.523551    |   0.017831    |     1 |       8 |
|  1 | statsmodels     | Pearson        |  -0.666657    |   0.00132718  |     1 |       8 |
|  2 | statsmodels     | Point-Biserial |  -0.389208    |   0.0130552   |     2 |       8 |
|  3 | statsmodels     | Pearson        |  -0.506123    |   0.000862339 |     2 |       8 |
|  4 | statsmodels     | Point-Biserial |  -0.354928    |   0.00539169  |     3 |       8 |
|  5 | statsmodels     | Pearson        |  -0.444229    |   0.000377114 |     3 |       8 |
|  6 | statsmodels     | Point-Biserial |  -0.334928    |   0.00239131  |     4 |       8 |
|  7 | statsmodels     | Pearson        |  -0.466299    |   1.30434e-05 |     4 |       8 |
|  8 | statsmodels     | Point-Biserial |  -0.349578    |   0.000363859 |     5 |       8 |
|  9 | statsmodels     | Pearson        |  -0.422542    |   1.19104e-05 |     5 |       8 |
| 10 | statsmodels     | Point-Biserial |  -0.353357    |   7.53243e-05 |     6 |       8 |
| 11 | statsmodels     | Pearson        |  -0.413859    |   2.61972e-06 |     6 |       8 |
| 12 | statsmodels     | Point-Biserial |  -0.344291    |   3.11007e-05 |     7 |       8 |
| 13 | statsmodels     | Pearson        |  -0.335154    |   5.17138e-05 |     7 |       8 |
|  0 | vars            | Point-Biserial |  -0.562125    |   0.00988925  |     1 |       8 |
|  1 | vars            | Pearson        |  -0.726326    |   0.000287448 |     1 |       8 |
|  2 | vars            | Point-Biserial |  -0.425478    |   0.00619933  |     2 |       8 |
|  3 | vars            | Pearson        |  -0.613287    |   2.58186e-05 |     2 |       8 |
|  4 | vars            | Point-Biserial |  -0.322553    |   0.0119539   |     3 |       8 |
|  5 | vars            | Pearson        |  -0.486979    |   7.95735e-05 |     3 |       8 |
|  6 | vars            | Point-Biserial |  -0.311598    |   0.00489957  |     4 |       8 |
|  7 | vars            | Pearson        |  -0.499339    |   2.41734e-06 |     4 |       8 |
|  8 | vars            | Point-Biserial |  -0.335731    |   0.000638349 |     5 |       8 |
|  9 | vars            | Pearson        |  -0.539183    |   7.13788e-09 |     5 |       8 |
| 10 | vars            | Point-Biserial |  -0.316714    |   0.000424611 |     6 |       8 |
| 11 | vars            | Pearson        |  -0.529658    |   4.96276e-10 |     6 |       8 |
| 12 | vars            | Point-Biserial |  -0.284618    |   0.000653866 |     7 |       8 |
| 13 | vars            | Pearson        |  -0.487246    |   1.02841e-09 |     7 |       8 |
|  0 | lmtest          | Point-Biserial |  -0.562224    |   0.00987334  |     1 |       8 |
|  1 | lmtest          | Pearson        |  -0.72642     |   0.000286672 |     1 |       8 |
|  2 | lmtest          | Point-Biserial |  -0.425524    |   0.0061931   |     2 |       8 |
|  3 | lmtest          | Pearson        |  -0.613336    |   2.5769e-05  |     2 |       8 |
|  4 | lmtest          | Point-Biserial |  -0.322598    |   0.0119414   |     3 |       8 |
|  5 | lmtest          | Pearson        |  -0.487013    |   7.94663e-05 |     3 |       8 |
|  6 | lmtest          | Point-Biserial |  -0.311616    |   0.0048969   |     4 |       8 |
|  7 | lmtest          | Pearson        |  -0.499333    |   2.41817e-06 |     4 |       8 |
|  8 | lmtest          | Point-Biserial |  -0.335765    |   0.000637482 |     5 |       8 |
|  9 | lmtest          | Pearson        |  -0.539222    |   7.11654e-09 |     5 |       8 |
| 10 | lmtest          | Point-Biserial |  -0.316737    |   0.000424188 |     6 |       8 |
| 11 | lmtest          | Pearson        |  -0.5297      |   4.94418e-10 |     6 |       8 |
| 12 | lmtest          | Point-Biserial |  -0.284653    |   0.000652838 |     7 |       8 |
| 13 | lmtest          | Pearson        |  -0.487306    |   1.02282e-09 |     7 |       8 |
|  0 | VLTimeCausality | Point-Biserial |  -0.704427    |   0.000525617 |     1 |       8 |
|  1 | VLTimeCausality | Pearson        |  -0.921706    |   7.88265e-09 |     1 |       8 |
|  2 | VLTimeCausality | Point-Biserial |  -0.418998    |   0.00712352  |     2 |       8 |
|  3 | VLTimeCausality | Pearson        |  -0.606538    |   3.34469e-05 |     2 |       8 |
|  4 | VLTimeCausality | Point-Biserial |  -0.427714    |   0.000652633 |     3 |       8 |
|  5 | VLTimeCausality | Pearson        |  -0.638515    |   4.04488e-08 |     3 |       8 |
|  6 | VLTimeCausality | Point-Biserial |  -0.351612    |   0.0013829   |     4 |       8 |
|  7 | VLTimeCausality | Pearson        |  -0.552749    |   1.05884e-07 |     4 |       8 |
|  8 | VLTimeCausality | Point-Biserial |  -0.401114    |   3.53771e-05 |     5 |       8 |
|  9 | VLTimeCausality | Pearson        |  -0.623687    |   4.17066e-12 |     5 |       8 |
| 10 | VLTimeCausality | Point-Biserial |  -0.357782    |   6.02287e-05 |     6 |       8 |
| 11 | VLTimeCausality | Pearson        |  -0.569882    |   1.09616e-11 |     6 |       8 |
| 12 | VLTimeCausality | Point-Biserial |  -0.35864     |   1.35469e-05 |     7 |       8 |
| 13 | VLTimeCausality | Pearson        |  -0.589049    |   1.92937e-14 |     7 |       8 |
|  0 | NlinTS          | Point-Biserial |   0.241868    |   0.304244    |     1 |       8 |
|  1 | NlinTS          | Pearson        |  -0.0346239   |   0.884778    |     1 |       8 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |       8 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |       8 |
|  4 | NlinTS          | Point-Biserial | nan           | nan           |     3 |       8 |
|  5 | NlinTS          | Pearson        | nan           | nan           |     3 |       8 |
|  6 | NlinTS          | Point-Biserial |   0.0393654   |   0.728826    |     4 |       8 |
|  7 | NlinTS          | Pearson        |   3.46945e-18 |   1           |     4 |       8 |
|  8 | NlinTS          | Point-Biserial |   0.0644153   |   0.52431     |     5 |       8 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |       8 |
| 10 | NlinTS          | Point-Biserial |   0.0774207   |   0.400636    |     6 |       8 |
| 11 | NlinTS          | Pearson        |   0.0764719   |   0.406451    |     6 |       8 |
| 12 | NlinTS          | Point-Biserial |   0.0351856   |   0.679814    |     7 |       8 |
| 13 | NlinTS          | Pearson        |  -0.0878953   |   0.301759    |     7 |       8 |
|  0 | statsmodels     | Point-Biserial |  -0.522894    |   0.0180006   |     1 |      10 |
|  1 | statsmodels     | Pearson        |  -0.66663     |   0.00132797  |     1 |      10 |
|  2 | statsmodels     | Point-Biserial |  -0.391056    |   0.0125929   |     2 |      10 |
|  3 | statsmodels     | Pearson        |  -0.510862    |   0.000756121 |     2 |      10 |
|  4 | statsmodels     | Point-Biserial |  -0.354871    |   0.00539967  |     3 |      10 |
|  5 | statsmodels     | Pearson        |  -0.447992    |   0.0003315   |     3 |      10 |
|  6 | statsmodels     | Point-Biserial |  -0.335059    |   0.00238137  |     4 |      10 |
|  7 | statsmodels     | Pearson        |  -0.468427    |   1.17623e-05 |     4 |      10 |
|  8 | statsmodels     | Point-Biserial |  -0.348808    |   0.000375667 |     5 |      10 |
|  9 | statsmodels     | Pearson        |  -0.426678    |   9.56942e-06 |     5 |      10 |
| 10 | statsmodels     | Point-Biserial |  -0.353385    |   7.52192e-05 |     6 |      10 |
| 11 | statsmodels     | Pearson        |  -0.417416    |   2.10508e-06 |     6 |      10 |
| 12 | statsmodels     | Point-Biserial |  -0.344619    |   3.05293e-05 |     7 |      10 |
| 13 | statsmodels     | Pearson        |  -0.338849    |   4.21814e-05 |     7 |      10 |
|  0 | vars            | Point-Biserial |  -0.563136    |   0.0097285   |     1 |      10 |
|  1 | vars            | Pearson        |  -0.728066    |   0.000273332 |     1 |      10 |
|  2 | vars            | Point-Biserial |  -0.427205    |   0.0059712   |     2 |      10 |
|  3 | vars            | Pearson        |  -0.615304    |   2.38679e-05 |     2 |      10 |
|  4 | vars            | Point-Biserial |  -0.323208    |   0.0117723   |     3 |      10 |
|  5 | vars            | Pearson        |  -0.487083    |   7.92503e-05 |     3 |      10 |
|  6 | vars            | Point-Biserial |  -0.311702    |   0.00488456  |     4 |      10 |
|  7 | vars            | Pearson        |  -0.499073    |   2.45218e-06 |     4 |      10 |
|  8 | vars            | Point-Biserial |  -0.336256    |   0.000625164 |     5 |      10 |
|  9 | vars            | Pearson        |  -0.539143    |   7.15984e-09 |     5 |      10 |
| 10 | vars            | Point-Biserial |  -0.317486    |   0.000410319 |     6 |      10 |
| 11 | vars            | Pearson        |  -0.529867    |   4.87163e-10 |     6 |      10 |
| 12 | vars            | Point-Biserial |  -0.285406    |   0.000630662 |     7 |      10 |
| 13 | vars            | Pearson        |  -0.487198    |   1.03287e-09 |     7 |      10 |
|  0 | lmtest          | Point-Biserial |  -0.563234    |   0.00971309  |     1 |      10 |
|  1 | lmtest          | Pearson        |  -0.728159    |   0.000272597 |     1 |      10 |
|  2 | lmtest          | Point-Biserial |  -0.427253    |   0.00596497  |     2 |      10 |
|  3 | lmtest          | Pearson        |  -0.615355    |   2.38206e-05 |     2 |      10 |
|  4 | lmtest          | Point-Biserial |  -0.323255    |   0.0117594   |     3 |      10 |
|  5 | lmtest          | Pearson        |  -0.487119    |   7.91395e-05 |     3 |      10 |
|  6 | lmtest          | Point-Biserial |  -0.311722    |   0.00488158  |     4 |      10 |
|  7 | lmtest          | Pearson        |  -0.499067    |   2.45289e-06 |     4 |      10 |
