+----+-----------------+------------+-------+---------+
|    | Package         |   Accuracy |   Lag |   alpha |
|  0 | vars            |       0.95 |     1 |       4 |
|  1 | vars            |       0.95 |     2 |       4 |
|  2 | vars            |       0.85 |     3 |       4 |
|  3 | vars            |       0.8  |     4 |       4 |
|  4 | vars            |       0.8  |     5 |       4 |
|  5 | vars            |       0.8  |     6 |       4 |
|  6 | vars            |       0.8  |     7 |       4 |
|  0 | lmtest          |       0.95 |     1 |       4 |
|  1 | lmtest          |       0.95 |     2 |       4 |
|  2 | lmtest          |       0.85 |     3 |       4 |
|  3 | lmtest          |       0.8  |     4 |       4 |
|  4 | lmtest          |       0.8  |     5 |       4 |
|  5 | lmtest          |       0.8  |     6 |       4 |
|  6 | lmtest          |       0.8  |     7 |       4 |
|  0 | VLTimeCausality |       1    |     1 |       4 |
|  1 | VLTimeCausality |       1    |     2 |       4 |
|  2 | VLTimeCausality |       0.9  |     3 |       4 |
|  3 | VLTimeCausality |       0.85 |     4 |       4 |
|  4 | VLTimeCausality |       0.85 |     5 |       4 |
|  5 | VLTimeCausality |       0.85 |     6 |       4 |
|  6 | VLTimeCausality |       0.85 |     7 |       4 |
|  0 | NlinTS          |       0.5  |     1 |       4 |
|  1 | NlinTS          |       0.5  |     2 |       4 |
|  2 | NlinTS          |       0.5  |     3 |       4 |
|  3 | NlinTS          |       0.5  |     4 |       4 |
|  4 | NlinTS          |       0.5  |     5 |       4 |
|  5 | NlinTS          |       0.5  |     6 |       4 |
|  6 | NlinTS          |       0.5  |     7 |       4 |
|  0 | statsmodels     |       0.85 |     1 |       6 |
|  1 | statsmodels     |       0.85 |     2 |       6 |
|  2 | statsmodels     |       0.8  |     3 |       6 |
|  3 | statsmodels     |       0.75 |     4 |       6 |
|  4 | statsmodels     |       0.65 |     5 |       6 |
|  5 | statsmodels     |       0.7  |     6 |       6 |
|  6 | statsmodels     |       0.65 |     7 |       6 |
|  0 | vars            |       0.95 |     1 |       6 |
|  1 | vars            |       0.95 |     2 |       6 |
|  2 | vars            |       0.9  |     3 |       6 |
|  3 | vars            |       0.8  |     4 |       6 |
|  4 | vars            |       0.8  |     5 |       6 |
|  5 | vars            |       0.8  |     6 |       6 |
|  6 | vars            |       0.85 |     7 |       6 |
