+----+-----------------+----------------+--------------+-------------+-------+--------+
|    | Package         | Type           |         Corr |           p |   Lag |   beta |
|  2 | statsmodels     | Point-Biserial | -0.329305    | 0.0379925   |     2 |      4 |
|  3 | statsmodels     | Pearson        | -0.417138    | 0.00740975  |     2 |      4 |
|  4 | statsmodels     | Point-Biserial | -0.324009    | 0.0115535   |     3 |      4 |
|  5 | statsmodels     | Pearson        | -0.38565     | 0.00234197  |     3 |      4 |
|  6 | statsmodels     | Point-Biserial | -0.30256     | 0.00637509  |     4 |      4 |
|  7 | statsmodels     | Pearson        | -0.430375    | 6.75876e-05 |     4 |      4 |
|  8 | statsmodels     | Point-Biserial | -0.328769    | 0.000838689 |     5 |      4 |
|  9 | statsmodels     | Pearson        | -0.35927     | 0.000241709 |     5 |      4 |
| 10 | statsmodels     | Point-Biserial | -0.316643    | 0.000425951 |     6 |      4 |
| 11 | statsmodels     | Pearson        | -0.369356    | 3.30267e-05 |     6 |      4 |
| 12 | statsmodels     | Point-Biserial | -0.3015      | 0.000294569 |     7 |      4 |
| 13 | statsmodels     | Pearson        | -0.291789    | 0.000468788 |     7 |      4 |
|  0 | vars            | Point-Biserial | -0.577273    | 0.00769551  |     1 |      4 |
|  1 | vars            | Pearson        | -0.737816    | 0.000204693 |     1 |      4 |
|  2 | vars            | Point-Biserial | -0.361329    | 0.0219758   |     2 |      4 |
|  3 | vars            | Pearson        | -0.535801    | 0.000366536 |     2 |      4 |
|  4 | vars            | Point-Biserial | -0.299802    | 0.0199539   |     3 |      4 |
|  5 | vars            | Pearson        | -0.484809    | 8.65477e-05 |     3 |      4 |
|  6 | vars            | Point-Biserial | -0.291335    | 0.0087439   |     4 |      4 |
|  7 | vars            | Pearson        | -0.507439    | 1.55578e-06 |     4 |      4 |
|  8 | vars            | Point-Biserial | -0.297191    | 0.00267599  |     5 |      4 |
|  9 | vars            | Pearson        | -0.541628    | 5.91976e-09 |     5 |      4 |
| 10 | vars            | Point-Biserial | -0.272639    | 0.00258985  |     6 |      4 |
| 11 | vars            | Pearson        | -0.5312      | 4.32697e-10 |     6 |      4 |
| 12 | vars            | Point-Biserial | -0.237693    | 0.00468616  |     7 |      4 |
| 13 | vars            | Pearson        | -0.494644    | 5.23796e-10 |     7 |      4 |
|  0 | lmtest          | Point-Biserial | -0.577367    | 0.00768328  |     1 |      4 |
|  1 | lmtest          | Pearson        | -0.737885    | 0.000204267 |     1 |      4 |
|  2 | lmtest          | Point-Biserial | -0.361322    | 0.0219788   |     2 |      4 |
|  3 | lmtest          | Pearson        | -0.535829    | 0.00036623  |     2 |      4 |
|  4 | lmtest          | Point-Biserial | -0.299788    | 0.0199597   |     3 |      4 |
|  5 | lmtest          | Pearson        | -0.484836    | 8.64561e-05 |     3 |      4 |
|  6 | lmtest          | Point-Biserial | -0.291304    | 0.00875153  |     4 |      4 |
|  7 | lmtest          | Pearson        | -0.507423    | 1.55708e-06 |     4 |      4 |
|  8 | lmtest          | Point-Biserial | -0.297139    | 0.00268086  |     5 |      4 |
|  9 | lmtest          | Pearson        | -0.541653    | 5.9083e-09  |     5 |      4 |
| 10 | lmtest          | Point-Biserial | -0.272528    | 0.00260079  |     6 |      4 |
| 11 | lmtest          | Pearson        | -0.531227    | 4.31687e-10 |     6 |      4 |
| 12 | lmtest          | Point-Biserial | -0.237569    | 0.00470836  |     7 |      4 |
| 13 | lmtest          | Pearson        | -0.494681    | 5.21984e-10 |     7 |      4 |
|  0 | VLTimeCausality | Point-Biserial | -0.690346    | 0.000754132 |     1 |      4 |
|  1 | VLTimeCausality | Pearson        | -0.917937    | 1.18662e-08 |     1 |      4 |
|  2 | VLTimeCausality | Point-Biserial | -0.419033    | 0.00711811  |     2 |      4 |
|  3 | VLTimeCausality | Pearson        | -0.605812    | 3.43804e-05 |     2 |      4 |
|  4 | VLTimeCausality | Point-Biserial | -0.379192    | 0.00280924  |     3 |      4 |
|  5 | VLTimeCausality | Pearson        | -0.435736    | 0.00050172  |     3 |      4 |
|  6 | VLTimeCausality | Point-Biserial | -0.340356    | 0.00200758  |     4 |      4 |
|  7 | VLTimeCausality | Pearson        | -0.401707    | 0.000221376 |     4 |      4 |
|  8 | VLTimeCausality | Point-Biserial | -0.380816    | 9.28223e-05 |     5 |      4 |
|  9 | VLTimeCausality | Pearson        | -0.462579    | 1.26349e-06 |     5 |      4 |
| 10 | VLTimeCausality | Point-Biserial | -0.333091    | 0.000201305 |     6 |      4 |
| 11 | VLTimeCausality | Pearson        | -0.40196     | 5.34913e-06 |     6 |      4 |
| 12 | VLTimeCausality | Point-Biserial | -0.336737    | 4.74066e-05 |     7 |      4 |
| 13 | VLTimeCausality | Pearson        | -0.415916    | 3.21248e-07 |     7 |      4 |
|  0 | NlinTS          | Point-Biserial |  0.277471    | 0.236247    |     1 |      4 |
|  1 | NlinTS          | Pearson        | -0.0928187   | 0.697119    |     1 |      4 |
|  2 | NlinTS          | Point-Biserial |  0.159239    | 0.326364    |     2 |      4 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |      4 |
|  4 | NlinTS          | Point-Biserial |  0.0554796   | 0.673735    |     3 |      4 |
|  5 | NlinTS          | Pearson        |  0.0842343   | 0.522244    |     3 |      4 |
|  6 | NlinTS          | Point-Biserial |  0.041224    | 0.716552    |     4 |      4 |
|  7 | NlinTS          | Pearson        |  1.38778e-17 | 1           |     4 |      4 |
|  8 | NlinTS          | Point-Biserial |  0.0652131   | 0.519174    |     5 |      4 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |      4 |
| 10 | NlinTS          | Point-Biserial |  0.0361641   | 0.694955    |     6 |      4 |
| 11 | NlinTS          | Pearson        | -0.0539803   | 0.558169    |     6 |      4 |
| 12 | NlinTS          | Point-Biserial | -0.0946095   | 0.266183    |     7 |      4 |
| 13 | NlinTS          | Pearson        | -0.130118    | 0.125449    |     7 |      4 |
