+----+-----------------+----------------+--------------+-------------+-------+--------+
|    | Package         | Type           |         Corr |           p |   Lag |   beta |
| 11 | lmtest          | Pearson        | -0.530711    | 4.51986e-10 |     6 |     10 |
| 12 | lmtest          | Point-Biserial | -0.182803    | 0.030633    |     7 |     10 |
| 13 | lmtest          | Pearson        | -0.495085    | 5.0286e-10  |     7 |     10 |
|  0 | VLTimeCausality | Point-Biserial | -0.720035    | 0.000343791 |     1 |     10 |
|  1 | VLTimeCausality | Pearson        | -0.912481    | 2.07526e-08 |     1 |     10 |
|  2 | VLTimeCausality | Point-Biserial | -0.46027     | 0.00280433  |     2 |     10 |
|  3 | VLTimeCausality | Pearson        | -0.605163    | 3.52339e-05 |     2 |     10 |
|  4 | VLTimeCausality | Point-Biserial | -0.392344    | 0.00193198  |     3 |     10 |
|  5 | VLTimeCausality | Pearson        | -0.435575    | 0.000504408 |     3 |     10 |
|  6 | VLTimeCausality | Point-Biserial | -0.357328    | 0.00113843  |     4 |     10 |
|  7 | VLTimeCausality | Pearson        | -0.401484    | 0.000223339 |     4 |     10 |
|  8 | VLTimeCausality | Point-Biserial | -0.392803    | 5.29113e-05 |     5 |     10 |
|  9 | VLTimeCausality | Pearson        | -0.461813    | 1.32255e-06 |     5 |     10 |
| 10 | VLTimeCausality | Point-Biserial | -0.344474    | 0.000116854 |     6 |     10 |
| 11 | VLTimeCausality | Pearson        | -0.401021    | 5.65225e-06 |     6 |     10 |
| 12 | VLTimeCausality | Point-Biserial | -0.350278    | 2.20955e-05 |     7 |     10 |
| 13 | VLTimeCausality | Pearson        | -0.414741    | 3.49398e-07 |     7 |     10 |
|  0 | NlinTS          | Point-Biserial |  0.158029    | 0.505779    |     1 |     10 |
|  1 | NlinTS          | Pearson        | -0.134578    | 0.571611    |     1 |     10 |
|  2 | NlinTS          | Point-Biserial |  0.166628    | 0.304119    |     2 |     10 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |     10 |
|  4 | NlinTS          | Point-Biserial |  0.0645741   | 0.624007    |     3 |     10 |
|  5 | NlinTS          | Pearson        |  0.0883918   | 0.501842    |     3 |     10 |
|  6 | NlinTS          | Point-Biserial |  0.0512614   | 0.651574    |     4 |     10 |
|  7 | NlinTS          | Pearson        | -6.93889e-18 | 1           |     4 |     10 |
|  8 | NlinTS          | Point-Biserial |  0.0737005   | 0.466166    |     5 |     10 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |     10 |
| 10 | NlinTS          | Point-Biserial |  0.0432678   | 0.638902    |     6 |     10 |
| 11 | NlinTS          | Pearson        | -0.0485708   | 0.598327    |     6 |     10 |
| 12 | NlinTS          | Point-Biserial | -0.193795    | 0.0217765   |     7 |     10 |
| 13 | NlinTS          | Pearson        | -0.157868    | 0.0624806   |     7 |     10 |
|  0 | statsmodels     | Point-Biserial | -0.573523    | 0.00819736  |     1 |     12 |
|  1 | statsmodels     | Pearson        | -0.677989    | 0.00101906  |     1 |     12 |
|  2 | statsmodels     | Point-Biserial | -0.292154    | 0.0673563   |     2 |     12 |
|  3 | statsmodels     | Pearson        | -0.399384    | 0.0106782   |     2 |     12 |
|  4 | statsmodels     | Point-Biserial | -0.284627    | 0.0275145   |     3 |     12 |
|  5 | statsmodels     | Pearson        | -0.394383    | 0.00182051  |     3 |     12 |
|  6 | statsmodels     | Point-Biserial | -0.276121    | 0.0131663   |     4 |     12 |
|  7 | statsmodels     | Pearson        | -0.423058    | 9.24313e-05 |     4 |     12 |
|  8 | statsmodels     | Point-Biserial | -0.27457     | 0.00570054  |     5 |     12 |
|  9 | statsmodels     | Pearson        | -0.337956    | 0.000584234 |     5 |     12 |
| 10 | statsmodels     | Point-Biserial | -0.272348    | 0.00261851  |     6 |     12 |
| 11 | statsmodels     | Pearson        | -0.3765      | 2.25305e-05 |     6 |     12 |
| 12 | statsmodels     | Point-Biserial | -0.242821    | 0.00384341  |     7 |     12 |
| 13 | statsmodels     | Pearson        | -0.29689     | 0.000368012 |     7 |     12 |
|  0 | vars            | Point-Biserial | -0.576554    | 0.00778975  |     1 |     12 |
|  1 | vars            | Pearson        | -0.690418    | 0.000752764 |     1 |     12 |
|  2 | vars            | Point-Biserial | -0.303863    | 0.056624    |     2 |     12 |
|  3 | vars            | Pearson        | -0.442267    | 0.0042709   |     2 |     12 |
|  4 | vars            | Point-Biserial | -0.283126    | 0.0283785   |     3 |     12 |
|  5 | vars            | Pearson        | -0.502571    | 4.27818e-05 |     3 |     12 |
|  6 | vars            | Point-Biserial | -0.270398    | 0.0152736   |     4 |     12 |
|  7 | vars            | Pearson        | -0.521497    | 7.04402e-07 |     4 |     12 |
|  8 | vars            | Point-Biserial | -0.257999    | 0.00955353  |     5 |     12 |
|  9 | vars            | Pearson        | -0.531012    | 1.31989e-08 |     5 |     12 |
| 10 | vars            | Point-Biserial | -0.233583    | 0.0102402   |     6 |     12 |
| 11 | vars            | Pearson        | -0.531638    | 4.16159e-10 |     6 |     12 |
| 12 | vars            | Point-Biserial | -0.176801    | 0.0366471   |     7 |     12 |
| 13 | vars            | Pearson        | -0.493439    | 5.85264e-10 |     7 |     12 |
|  0 | lmtest          | Point-Biserial | -0.576612    | 0.00778212  |     1 |     12 |
|  1 | lmtest          | Pearson        | -0.690456    | 0.000752056 |     1 |     12 |
|  2 | lmtest          | Point-Biserial | -0.303869    | 0.0566189   |     2 |     12 |
|  3 | lmtest          | Pearson        | -0.442307    | 0.00426698  |     2 |     12 |
|  4 | lmtest          | Point-Biserial | -0.283093    | 0.0283974   |     3 |     12 |
|  5 | lmtest          | Pearson        | -0.50258     | 4.27648e-05 |     3 |     12 |
|  6 | lmtest          | Point-Biserial | -0.270342    | 0.0152958   |     4 |     12 |
|  7 | lmtest          | Pearson        | -0.521482    | 7.04998e-07 |     4 |     12 |
|  8 | lmtest          | Point-Biserial | -0.257934    | 0.00957234  |     5 |     12 |
|  9 | lmtest          | Pearson        | -0.53101     | 1.32007e-08 |     5 |     12 |
| 10 | lmtest          | Point-Biserial | -0.233478    | 0.0102751   |     6 |     12 |
| 11 | lmtest          | Pearson        | -0.531632    | 4.16368e-10 |     6 |     12 |
| 12 | lmtest          | Point-Biserial | -0.17667     | 0.0367886   |     7 |     12 |
| 13 | lmtest          | Pearson        | -0.493396    | 5.8758e-10  |     7 |     12 |
|  0 | VLTimeCausality | Point-Biserial | -0.726446    | 0.000286457 |     1 |     12 |
|  1 | VLTimeCausality | Pearson        | -0.898123    | 7.7176e-08  |     1 |     12 |
|  2 | VLTimeCausality | Point-Biserial | -0.429755    | 0.00564779  |     2 |     12 |
|  3 | VLTimeCausality | Pearson        | -0.587031    | 6.84501e-05 |     2 |     12 |
|  4 | VLTimeCausality | Point-Biserial | -0.351362    | 0.00590964  |     3 |     12 |
|  5 | VLTimeCausality | Pearson        | -0.430336    | 0.000599298 |     3 |     12 |
|  6 | VLTimeCausality | Point-Biserial | -0.312037    | 0.00483625  |     4 |     12 |
|  7 | VLTimeCausality | Pearson        | -0.40781     | 0.000173499 |     4 |     12 |
|  8 | VLTimeCausality | Point-Biserial | -0.33969     | 0.000545001 |     5 |     12 |
|  9 | VLTimeCausality | Pearson        | -0.458067    | 1.65062e-06 |     5 |     12 |
| 10 | VLTimeCausality | Point-Biserial | -0.348351    | 9.66287e-05 |     6 |     12 |
| 11 | VLTimeCausality | Pearson        | -0.400267    | 5.90763e-06 |     6 |     12 |
| 12 | VLTimeCausality | Point-Biserial | -0.355051    | 1.67397e-05 |     7 |     12 |
| 13 | VLTimeCausality | Pearson        | -0.413773    | 3.74345e-07 |     7 |     12 |
|  0 | NlinTS          | Point-Biserial |  0.159811    | 0.500931    |     1 |     12 |
|  1 | NlinTS          | Pearson        | -0.110091    | 0.644047    |     1 |     12 |
|  2 | NlinTS          | Point-Biserial |  0.169874    | 0.294661    |     2 |     12 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |     12 |
|  4 | NlinTS          | Point-Biserial |  0.0683908   | 0.603609    |     3 |     12 |
|  5 | NlinTS          | Pearson        |  0.0887803   | 0.499957    |     3 |     12 |
|  6 | NlinTS          | Point-Biserial |  0.0548599   | 0.628866    |     4 |     12 |
|  7 | NlinTS          | Pearson        |  1.38778e-17 | 1           |     4 |     12 |
|  8 | NlinTS          | Point-Biserial |  0.0768532   | 0.447258    |     5 |     12 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |     12 |
| 10 | NlinTS          | Point-Biserial |  0.0533236   | 0.562975    |     6 |     12 |
| 11 | NlinTS          | Pearson        | -0.0398864   | 0.665355    |     6 |     12 |
| 12 | NlinTS          | Point-Biserial | -0.147897    | 0.081185    |     7 |     12 |
| 13 | NlinTS          | Pearson        | -0.146844    | 0.083398    |     7 |     12 |
|  0 | statsmodels     | Point-Biserial | -0.56562     | 0.00934268  |     1 |     14 |
|  1 | statsmodels     | Pearson        | -0.656954    | 0.00164996  |     1 |     14 |
|  2 | statsmodels     | Point-Biserial | -0.290304    | 0.0691898   |     2 |     14 |
|  3 | statsmodels     | Pearson        | -0.394019    | 0.0118807   |     2 |     14 |
|  4 | statsmodels     | Point-Biserial | -0.279896    | 0.0303149   |     3 |     14 |
|  5 | statsmodels     | Pearson        | -0.392439    | 0.00192661  |     3 |     14 |
|  6 | statsmodels     | Point-Biserial | -0.275411    | 0.0134133   |     4 |     14 |
|  7 | statsmodels     | Pearson        | -0.420284    | 0.000103882 |     4 |     14 |
|  8 | statsmodels     | Point-Biserial | -0.266624    | 0.00733045  |     5 |     14 |
|  9 | statsmodels     | Pearson        | -0.334649    | 0.000666286 |     5 |     14 |
| 10 | statsmodels     | Point-Biserial | -0.271472    | 0.00270654  |     6 |     14 |
| 11 | statsmodels     | Pearson        | -0.382343    | 1.63675e-05 |     6 |     14 |
| 12 | statsmodels     | Point-Biserial | -0.235848    | 0.00502755  |     7 |     14 |
| 13 | statsmodels     | Pearson        | -0.297553    | 0.000356501 |     7 |     14 |
|  0 | vars            | Point-Biserial | -0.57036     | 0.00864109  |     1 |     14 |
|  1 | vars            | Pearson        | -0.6706      | 0.00121213  |     1 |     14 |
|  2 | vars            | Point-Biserial | -0.317066    | 0.0462085   |     2 |     14 |
|  3 | vars            | Pearson        | -0.458764    | 0.00290731  |     2 |     14 |
|  4 | vars            | Point-Biserial | -0.28174     | 0.0291964   |     3 |     14 |
|  5 | vars            | Pearson        | -0.503201    | 4.16945e-05 |     3 |     14 |
|  6 | vars            | Point-Biserial | -0.27035     | 0.0152925   |     4 |     14 |
|  7 | vars            | Pearson        | -0.522521    | 6.63979e-07 |     4 |     14 |
|  8 | vars            | Point-Biserial | -0.258145    | 0.00951154  |     5 |     14 |
|  9 | vars            | Pearson        | -0.528294    | 1.61364e-08 |     5 |     14 |
| 10 | vars            | Point-Biserial | -0.236948    | 0.00916917  |     6 |     14 |
| 11 | vars            | Pearson        | -0.533711    | 3.45654e-10 |     6 |     14 |
| 12 | vars            | Point-Biserial | -0.175287    | 0.0383123   |     7 |     14 |
| 13 | vars            | Pearson        | -0.490947    | 7.3524e-10  |     7 |     14 |
|  0 | lmtest          | Point-Biserial | -0.570413    | 0.00863359  |     1 |     14 |
|  1 | lmtest          | Pearson        | -0.670634    | 0.00121117  |     1 |     14 |
|  2 | lmtest          | Point-Biserial | -0.317086    | 0.0461941   |     2 |     14 |
|  3 | lmtest          | Pearson        | -0.458813    | 0.00290388  |     2 |     14 |
|  4 | lmtest          | Point-Biserial | -0.28171     | 0.0292143   |     3 |     14 |
|  5 | lmtest          | Pearson        | -0.503204    | 4.16894e-05 |     3 |     14 |
|  6 | lmtest          | Point-Biserial | -0.270294    | 0.0153146   |     4 |     14 |
|  7 | lmtest          | Pearson        | -0.522504    | 6.64622e-07 |     4 |     14 |
|  8 | lmtest          | Point-Biserial | -0.258081    | 0.00952992  |     5 |     14 |
|  9 | lmtest          | Pearson        | -0.528284    | 1.61481e-08 |     5 |     14 |
| 10 | lmtest          | Point-Biserial | -0.236857    | 0.00919681  |     6 |     14 |
| 11 | lmtest          | Pearson        | -0.533701    | 3.45957e-10 |     6 |     14 |
| 12 | lmtest          | Point-Biserial | -0.175165    | 0.0384498   |     7 |     14 |
| 13 | lmtest          | Pearson        | -0.490885    | 7.39443e-10 |     7 |     14 |
|  0 | VLTimeCausality | Point-Biserial | -0.525002    | 0.0174607   |     1 |     14 |
|  1 | VLTimeCausality | Pearson        | -0.686524    | 0.000828972 |     1 |     14 |
|  2 | VLTimeCausality | Point-Biserial | -0.307827    | 0.053317    |     2 |     14 |
|  3 | VLTimeCausality | Pearson        | -0.480433    | 0.00170326  |     2 |     14 |
|  4 | VLTimeCausality | Point-Biserial | -0.250793    | 0.0532635   |     3 |     14 |
|  5 | VLTimeCausality | Pearson        | -0.359986    | 0.00472558  |     3 |     14 |
|  6 | VLTimeCausality | Point-Biserial | -0.314145    | 0.00454269  |     4 |     14 |
|  7 | VLTimeCausality | Pearson        | -0.407126    | 0.000178342 |     4 |     14 |
|  8 | VLTimeCausality | Point-Biserial | -0.341117    | 0.000514557 |     5 |     14 |
|  9 | VLTimeCausality | Pearson        | -0.456068    | 1.85594e-06 |     5 |     14 |
| 10 | VLTimeCausality | Point-Biserial | -0.351819    | 8.13519e-05 |     6 |     14 |
| 11 | VLTimeCausality | Pearson        | -0.399219    | 6.28061e-06 |     6 |     14 |
| 12 | VLTimeCausality | Point-Biserial | -0.359484    | 1.2884e-05  |     7 |     14 |
| 13 | VLTimeCausality | Pearson        | -0.412443    | 4.11402e-07 |     7 |     14 |
|  0 | NlinTS          | Point-Biserial |  0.151717    | 0.523133    |     1 |     14 |
|  1 | NlinTS          | Pearson        | -0.0928207   | 0.697113    |     1 |     14 |
|  2 | NlinTS          | Point-Biserial |  0.172973    | 0.285811    |     2 |     14 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |     14 |
|  4 | NlinTS          | Point-Biserial |  0.0720722   | 0.584215    |     3 |     14 |
|  5 | NlinTS          | Pearson        |  0.0890296   | 0.498749    |     3 |     14 |
|  6 | NlinTS          | Point-Biserial |  0.0582553   | 0.60775     |     4 |     14 |
|  7 | NlinTS          | Pearson        |  6.93889e-18 | 1           |     4 |     14 |
|  8 | NlinTS          | Point-Biserial |  0.0798291   | 0.429811    |     5 |     14 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |     14 |
| 10 | NlinTS          | Point-Biserial |  0.0749497   | 0.415883    |     6 |     14 |
| 11 | NlinTS          | Pearson        | -0.0123321   | 0.893654    |     6 |     14 |
| 12 | NlinTS          | Point-Biserial | -0.060282    | 0.479246    |     7 |     14 |
| 13 | NlinTS          | Pearson        | -0.121731    | 0.151927    |     7 |     14 |
|  0 | statsmodels     | Point-Biserial | -0.557212    | 0.0107009   |     1 |     16 |
|  1 | statsmodels     | Pearson        | -0.636964    | 0.00252537  |     1 |     16 |
|  2 | statsmodels     | Point-Biserial | -0.290135    | 0.0693586   |     2 |     16 |
|  3 | statsmodels     | Pearson        | -0.389444    | 0.0129955   |     2 |     16 |
|  4 | statsmodels     | Point-Biserial | -0.276188    | 0.0326729   |     3 |     16 |
|  5 | statsmodels     | Pearson        | -0.389499    | 0.00209761  |     3 |     16 |
|  6 | statsmodels     | Point-Biserial | -0.2754      | 0.0134173   |     4 |     16 |
|  7 | statsmodels     | Pearson        | -0.417312    | 0.000117602 |     4 |     16 |
|  8 | statsmodels     | Point-Biserial | -0.260649    | 0.00881469  |     5 |     16 |
|  9 | statsmodels     | Pearson        | -0.332323    | 0.000730164 |     5 |     16 |
| 10 | statsmodels     | Point-Biserial | -0.272702    | 0.00258367  |     6 |     16 |
| 11 | statsmodels     | Pearson        | -0.388722    | 1.14667e-05 |     6 |     16 |
| 12 | statsmodels     | Point-Biserial | -0.230739    | 0.00609214  |     7 |     16 |
| 13 | statsmodels     | Pearson        | -0.297965    | 0.000349513 |     7 |     16 |
|  0 | vars            | Point-Biserial | -0.558751    | 0.0104411   |     1 |     16 |
|  1 | vars            | Pearson        | -0.647066    | 0.00204417  |     1 |     16 |
|  2 | vars            | Point-Biserial | -0.329702    | 0.0377474   |     2 |     16 |
|  3 | vars            | Pearson        | -0.473774    | 0.00201487  |     2 |     16 |
|  4 | vars            | Point-Biserial | -0.280225    | 0.0301126   |     3 |     16 |
|  5 | vars            | Pearson        | -0.500976    | 4.56491e-05 |     3 |     16 |
|  6 | vars            | Point-Biserial | -0.270566    | 0.0152078   |     4 |     16 |
|  7 | vars            | Pearson        | -0.521853    | 6.90088e-07 |     4 |     16 |
|  8 | vars            | Point-Biserial | -0.259467    | 0.00913774  |     5 |     16 |
|  9 | vars            | Pearson        | -0.52528     | 2.01213e-08 |     5 |     16 |
| 10 | vars            | Point-Biserial | -0.242393    | 0.00764438  |     6 |     16 |
| 11 | vars            | Pearson        | -0.535799    | 2.86344e-10 |     6 |     16 |
| 12 | vars            | Point-Biserial | -0.176251    | 0.0372447   |     7 |     16 |
| 13 | vars            | Pearson        | -0.486746    | 1.07569e-09 |     7 |     16 |
|  0 | lmtest          | Point-Biserial | -0.5588      | 0.0104329   |     1 |     16 |
|  1 | lmtest          | Pearson        | -0.647098    | 0.00204279  |     1 |     16 |
|  2 | lmtest          | Point-Biserial | -0.329734    | 0.0377277   |     2 |     16 |
|  3 | lmtest          | Pearson        | -0.47383     | 0.00201205  |     2 |     16 |
|  4 | lmtest          | Point-Biserial | -0.280198    | 0.0301291   |     3 |     16 |
|  5 | lmtest          | Pearson        | -0.500973    | 4.56548e-05 |     3 |     16 |
|  6 | lmtest          | Point-Biserial | -0.27051     | 0.0152297   |     4 |     16 |
|  7 | lmtest          | Pearson        | -0.521832    | 6.90932e-07 |     4 |     16 |
|  8 | lmtest          | Point-Biserial | -0.259403    | 0.00915564  |     5 |     16 |
|  9 | lmtest          | Pearson        | -0.525259    | 2.01521e-08 |     5 |     16 |
| 10 | lmtest          | Point-Biserial | -0.242308    | 0.00766626  |     6 |     16 |
| 11 | lmtest          | Pearson        | -0.535778    | 2.86902e-10 |     6 |     16 |
| 12 | lmtest          | Point-Biserial | -0.176132    | 0.0373751   |     7 |     16 |
| 13 | lmtest          | Pearson        | -0.486662    | 1.08384e-09 |     7 |     16 |
|  0 | VLTimeCausality | Point-Biserial | -0.539115    | 0.01417     |     1 |     16 |
|  1 | VLTimeCausality | Pearson        | -0.683772    | 0.000886691 |     1 |     16 |
|  2 | VLTimeCausality | Point-Biserial | -0.317089    | 0.0461921   |     2 |     16 |
|  3 | VLTimeCausality | Pearson        | -0.477166    | 0.00185038  |     2 |     16 |
|  4 | VLTimeCausality | Point-Biserial | -0.251397    | 0.0526728   |     3 |     16 |
|  5 | VLTimeCausality | Pearson        | -0.358653    | 0.00489374  |     3 |     16 |
|  6 | VLTimeCausality | Point-Biserial | -0.316751    | 0.00420152  |     4 |     16 |
|  7 | VLTimeCausality | Pearson        | -0.406269    | 0.000184589 |     4 |     16 |
|  8 | VLTimeCausality | Point-Biserial | -0.343261    | 0.000471721 |     5 |     16 |
|  9 | VLTimeCausality | Pearson        | -0.454105    | 2.08076e-06 |     5 |     16 |
| 10 | VLTimeCausality | Point-Biserial | -0.354786    | 7.00988e-05 |     6 |     16 |
| 11 | VLTimeCausality | Pearson        | -0.39785     | 6.80168e-06 |     6 |     16 |
| 12 | VLTimeCausality | Point-Biserial | -0.363454    | 1.01573e-05 |     7 |     16 |
| 13 | VLTimeCausality | Pearson        | -0.410727    | 4.64443e-07 |     7 |     16 |
|  0 | NlinTS          | Point-Biserial |  0.130065    | 0.584691    |     1 |     16 |
|  1 | NlinTS          | Pearson        | -0.0911117   | 0.702444    |     1 |     16 |
|  2 | NlinTS          | Point-Biserial |  0.175756    | 0.278009    |     2 |     16 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |     16 |
|  4 | NlinTS          | Point-Biserial |  0.0754956   | 0.566439    |     3 |     16 |
|  5 | NlinTS          | Pearson        |  0.0891991   | 0.497929    |     3 |     16 |
|  6 | NlinTS          | Point-Biserial |  0.0613871   | 0.588554    |     4 |     16 |
|  7 | NlinTS          | Pearson        | -3.46945e-18 | 1           |     4 |     16 |
|  8 | NlinTS          | Point-Biserial |  0.082554    | 0.414182    |     5 |     16 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |     16 |
| 10 | NlinTS          | Point-Biserial |  0.0960853   | 0.296503    |     6 |     16 |
| 11 | NlinTS          | Pearson        |  0.0357952   | 0.697914    |     6 |     16 |
| 12 | NlinTS          | Point-Biserial |  0.0115988   | 0.891811    |     7 |     16 |
| 13 | NlinTS          | Pearson        | -0.0974698   | 0.251932    |     7 |     16 |
|  0 | statsmodels     | Point-Biserial | -0.545896    | 0.0127776   |     1 |     18 |
|  1 | statsmodels     | Pearson        | -0.615846    | 0.00384046  |     1 |     18 |
|  2 | statsmodels     | Point-Biserial | -0.291168    | 0.0683285   |     2 |     18 |
|  3 | statsmodels     | Pearson        | -0.386256    | 0.0138235   |     2 |     18 |
|  4 | statsmodels     | Point-Biserial | -0.273108    | 0.0347463   |     3 |     18 |
|  5 | statsmodels     | Pearson        | -0.385928    | 0.0023235   |     3 |     18 |
|  6 | statsmodels     | Point-Biserial | -0.275645    | 0.0133316   |     4 |     18 |
|  7 | statsmodels     | Pearson        | -0.414184    | 0.000133832 |     4 |     18 |
|  8 | statsmodels     | Point-Biserial | -0.2563      | 0.0100553   |     5 |     18 |
|  9 | statsmodels     | Pearson        | -0.330785    | 0.000775446 |     5 |     18 |
| 10 | statsmodels     | Point-Biserial | -0.274963    | 0.00237088  |     6 |     18 |
| 11 | statsmodels     | Pearson        | -0.394781    | 8.12128e-06 |     6 |     18 |
| 12 | statsmodels     | Point-Biserial | -0.226974    | 0.00700069  |     7 |     18 |
| 13 | statsmodels     | Pearson        | -0.298106    | 0.000347159 |     7 |     18 |
|  0 | vars            | Point-Biserial | -0.543872    | 0.013181    |     1 |     18 |
|  1 | vars            | Pearson        | -0.622174    | 0.00339759  |     1 |     18 |
|  2 | vars            | Point-Biserial | -0.340919    | 0.0313386   |     2 |     18 |
|  3 | vars            | Pearson        | -0.486132    | 0.00147118  |     2 |     18 |
|  4 | vars            | Point-Biserial | -0.278569    | 0.0311418   |     3 |     18 |
|  5 | vars            | Pearson        | -0.496605    | 5.44398e-05 |     3 |     18 |
|  6 | vars            | Point-Biserial | -0.270581    | 0.0152019   |     4 |     18 |
|  7 | vars            | Pearson        | -0.519453    | 7.92173e-07 |     4 |     18 |
|  8 | vars            | Point-Biserial | -0.261001    | 0.00872042  |     5 |     18 |
|  9 | vars            | Pearson        | -0.521358    | 2.67293e-08 |     5 |     18 |
| 10 | vars            | Point-Biserial | -0.248474    | 0.00621039  |     6 |     18 |
| 11 | vars            | Pearson        | -0.536918    | 2.58724e-10 |     6 |     18 |
| 12 | vars            | Point-Biserial | -0.17833     | 0.035028    |     7 |     18 |
| 13 | vars            | Pearson        | -0.480442    | 1.88599e-09 |     7 |     18 |
|  0 | lmtest          | Point-Biserial | -0.543919    | 0.0131715   |     1 |     18 |
|  1 | lmtest          | Pearson        | -0.622204    | 0.00339558  |     1 |     18 |
|  2 | lmtest          | Point-Biserial | -0.34096     | 0.0313171   |     2 |     18 |
|  3 | lmtest          | Pearson        | -0.486191    | 0.00146893  |     2 |     18 |
|  4 | lmtest          | Point-Biserial | -0.278545    | 0.0311571   |     3 |     18 |
|  5 | lmtest          | Pearson        | -0.496596    | 5.44589e-05 |     3 |     18 |
|  6 | lmtest          | Point-Biserial | -0.270526    | 0.0152237   |     4 |     18 |
|  7 | lmtest          | Pearson        | -0.519426    | 7.93395e-07 |     4 |     18 |
|  8 | lmtest          | Point-Biserial | -0.260935    | 0.00873817  |     5 |     18 |
|  9 | lmtest          | Pearson        | -0.521324    | 2.67945e-08 |     5 |     18 |
| 10 | lmtest          | Point-Biserial | -0.24839     | 0.00622841  |     6 |     18 |
| 11 | lmtest          | Pearson        | -0.536881    | 2.59609e-10 |     6 |     18 |
| 12 | lmtest          | Point-Biserial | -0.178211    | 0.0351517   |     7 |     18 |
| 13 | lmtest          | Pearson        | -0.480339    | 1.9032e-09  |     7 |     18 |
|  0 | VLTimeCausality | Point-Biserial | -0.551788    | 0.0116592   |     1 |     18 |
|  1 | VLTimeCausality | Pearson        | -0.681463    | 0.000937669 |     1 |     18 |
|  2 | VLTimeCausality | Point-Biserial | -0.326054    | 0.0400487   |     2 |     18 |
|  3 | VLTimeCausality | Pearson        | -0.474306    | 0.00198822  |     2 |     18 |
|  4 | VLTimeCausality | Point-Biserial | -0.252128    | 0.0519664   |     3 |     18 |
|  5 | VLTimeCausality | Pearson        | -0.357375    | 0.00505985  |     3 |     18 |
|  6 | VLTimeCausality | Point-Biserial | -0.319519    | 0.00386433  |     4 |     18 |
|  7 | VLTimeCausality | Pearson        | -0.405253    | 0.000192259 |     4 |     18 |
|  8 | VLTimeCausality | Point-Biserial | -0.345675    | 0.000427444 |     5 |     18 |
|  9 | VLTimeCausality | Pearson        | -0.452099    | 2.33708e-06 |     5 |     18 |
| 10 | VLTimeCausality | Point-Biserial | -0.357232    | 6.19376e-05 |     6 |     18 |
| 11 | VLTimeCausality | Pearson        | -0.396145    | 7.50744e-06 |     6 |     18 |
| 12 | VLTimeCausality | Point-Biserial | -0.366908    | 8.2375e-06  |     7 |     18 |
| 13 | VLTimeCausality | Pearson        | -0.408612    | 5.38767e-07 |     7 |     18 |
|  0 | NlinTS          | Point-Biserial |  0.111092    | 0.641016    |     1 |     18 |
|  1 | NlinTS          | Pearson        | -0.0885477   | 0.710466    |     1 |     18 |
|  2 | NlinTS          | Point-Biserial |  0.17816     | 0.271385    |     2 |     18 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |     18 |
|  4 | NlinTS          | Point-Biserial |  0.0786159   | 0.55046     |     3 |     18 |
|  5 | NlinTS          | Pearson        |  0.0893203   | 0.497343    |     3 |     18 |
|  6 | NlinTS          | Point-Biserial |  0.0642364   | 0.571332    |     4 |     18 |
|  7 | NlinTS          | Pearson        |  0           | 1           |     4 |     18 |
|  8 | NlinTS          | Point-Biserial |  0.0850038   | 0.400418    |     5 |     18 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |     18 |
| 10 | NlinTS          | Point-Biserial |  0.0979442   | 0.287213    |     6 |     18 |
| 11 | NlinTS          | Pearson        |  0.0688564   | 0.454897    |     6 |     18 |
| 12 | NlinTS          | Point-Biserial |  0.0498651   | 0.55849     |     7 |     18 |
| 13 | NlinTS          | Pearson        | -0.0809011   | 0.342005    |     7 |     18 |
|  0 | statsmodels     | Point-Biserial | -0.533124    | 0.0154998   |     1 |     20 |
|  1 | statsmodels     | Pearson        | -0.594941    | 0.00565668  |     1 |     20 |
|  2 | statsmodels     | Point-Biserial | -0.293021    | 0.0665101   |     2 |     20 |
|  3 | statsmodels     | Pearson        | -0.384642    | 0.0142598   |     2 |     20 |
|  4 | statsmodels     | Point-Biserial | -0.270397    | 0.0366609   |     3 |     20 |
|  5 | statsmodels     | Pearson        | -0.381977    | 0.00259844  |     3 |     20 |
|  6 | statsmodels     | Point-Biserial | -0.275885    | 0.0132482   |     4 |     20 |
|  7 | statsmodels     | Pearson        | -0.410981    | 0.000152578 |     4 |     20 |
|  8 | statsmodels     | Point-Biserial | -0.253204    | 0.0110294   |     5 |     20 |
|  9 | statsmodels     | Pearson        | -0.329862    | 0.000803825 |     5 |     20 |
| 10 | statsmodels     | Point-Biserial | -0.277563    | 0.0021458   |     6 |     20 |
| 11 | statsmodels     | Pearson        | -0.400084    | 5.97129e-06 |     6 |     20 |
