+----+-----------------+------------+-------+--------+
|    | Package         |   Accuracy |   Lag |   beta |
|  0 | vars            |       0.9  |     1 |      4 |
|  1 | vars            |       0.95 |     2 |      4 |
|  2 | vars            |       0.75 |     3 |      4 |
|  3 | vars            |       0.7  |     4 |      4 |
|  4 | vars            |       0.7  |     5 |      4 |
|  5 | vars            |       0.7  |     6 |      4 |
|  6 | vars            |       0.7  |     7 |      4 |
|  0 | lmtest          |       0.9  |     1 |      4 |
|  1 | lmtest          |       0.95 |     2 |      4 |
|  2 | lmtest          |       0.75 |     3 |      4 |
|  3 | lmtest          |       0.7  |     4 |      4 |
|  4 | lmtest          |       0.7  |     5 |      4 |
|  5 | lmtest          |       0.7  |     6 |      4 |
|  6 | lmtest          |       0.7  |     7 |      4 |
|  0 | VLTimeCausality |       1    |     1 |      4 |
|  1 | VLTimeCausality |       1    |     2 |      4 |
|  2 | VLTimeCausality |       0.9  |     3 |      4 |
|  3 | VLTimeCausality |       0.85 |     4 |      4 |
|  4 | VLTimeCausality |       0.85 |     5 |      4 |
|  5 | VLTimeCausality |       0.85 |     6 |      4 |
|  6 | VLTimeCausality |       0.85 |     7 |      4 |
|  0 | NlinTS          |       0.5  |     1 |      4 |
|  1 | NlinTS          |       0.5  |     2 |      4 |
|  2 | NlinTS          |       0.5  |     3 |      4 |
|  3 | NlinTS          |       0.5  |     4 |      4 |
|  4 | NlinTS          |       0.5  |     5 |      4 |
|  5 | NlinTS          |       0.5  |     6 |      4 |
|  6 | NlinTS          |       0.45 |     7 |      4 |
|  0 | statsmodels     |       0.85 |     1 |      6 |
|  1 | statsmodels     |       0.75 |     2 |      6 |
|  2 | statsmodels     |       0.6  |     3 |      6 |
|  3 | statsmodels     |       0.65 |     4 |      6 |
|  4 | statsmodels     |       0.5  |     5 |      6 |
|  5 | statsmodels     |       0.6  |     6 |      6 |
|  6 | statsmodels     |       0.55 |     7 |      6 |
|  0 | vars            |       0.9  |     1 |      6 |
|  1 | vars            |       0.85 |     2 |      6 |
|  2 | vars            |       0.75 |     3 |      6 |
|  3 | vars            |       0.65 |     4 |      6 |
|  4 | vars            |       0.7  |     5 |      6 |
|  5 | vars            |       0.7  |     6 |      6 |
|  6 | vars            |       0.65 |     7 |      6 |
|  0 | lmtest          |       0.9  |     1 |      6 |
|  1 | lmtest          |       0.8  |     2 |      6 |
|  2 | lmtest          |       0.75 |     3 |      6 |
|  3 | lmtest          |       0.65 |     4 |      6 |
|  4 | lmtest          |       0.7  |     5 |      6 |
|  5 | lmtest          |       0.7  |     6 |      6 |
|  6 | lmtest          |       0.65 |     7 |      6 |
|  0 | VLTimeCausality |       1    |     1 |      6 |
|  1 | VLTimeCausality |       0.95 |     2 |      6 |
|  2 | VLTimeCausality |       0.9  |     3 |      6 |
|  3 | VLTimeCausality |       0.85 |     4 |      6 |
|  4 | VLTimeCausality |       0.85 |     5 |      6 |
|  5 | VLTimeCausality |       0.85 |     6 |      6 |
|  6 | VLTimeCausality |       0.85 |     7 |      6 |
|  0 | NlinTS          |       0.5  |     1 |      6 |
|  1 | NlinTS          |       0.5  |     2 |      6 |
|  2 | NlinTS          |       0.5  |     3 |      6 |
|  3 | NlinTS          |       0.5  |     4 |      6 |
|  4 | NlinTS          |       0.5  |     5 |      6 |
|  5 | NlinTS          |       0.5  |     6 |      6 |
|  6 | NlinTS          |       0.5  |     7 |      6 |
|  0 | statsmodels     |       0.85 |     1 |      8 |
|  1 | statsmodels     |       0.75 |     2 |      8 |
|  2 | statsmodels     |       0.55 |     3 |      8 |
|  3 | statsmodels     |       0.6  |     4 |      8 |
|  4 | statsmodels     |       0.5  |     5 |      8 |
|  5 | statsmodels     |       0.6  |     6 |      8 |
|  6 | statsmodels     |       0.55 |     7 |      8 |
|  0 | vars            |       0.85 |     1 |      8 |
|  1 | vars            |       0.8  |     2 |      8 |
|  2 | vars            |       0.75 |     3 |      8 |
|  3 | vars            |       0.65 |     4 |      8 |
|  4 | vars            |       0.65 |     5 |      8 |
|  5 | vars            |       0.65 |     6 |      8 |
|  6 | vars            |       0.65 |     7 |      8 |
|  0 | lmtest          |       0.85 |     1 |      8 |
|  1 | lmtest          |       0.8  |     2 |      8 |
|  2 | lmtest          |       0.75 |     3 |      8 |
|  3 | lmtest          |       0.65 |     4 |      8 |
|  4 | lmtest          |       0.65 |     5 |      8 |
|  5 | lmtest          |       0.65 |     6 |      8 |
|  6 | lmtest          |       0.65 |     7 |      8 |
|  0 | VLTimeCausality |       1    |     1 |      8 |
|  1 | VLTimeCausality |       0.95 |     2 |      8 |
|  2 | VLTimeCausality |       0.9  |     3 |      8 |
|  3 | VLTimeCausality |       0.85 |     4 |      8 |
|  4 | VLTimeCausality |       0.85 |     5 |      8 |
|  5 | VLTimeCausality |       0.85 |     6 |      8 |
|  6 | VLTimeCausality |       0.85 |     7 |      8 |
|  0 | NlinTS          |       0.5  |     1 |      8 |
|  1 | NlinTS          |       0.5  |     2 |      8 |
|  2 | NlinTS          |       0.5  |     3 |      8 |
|  3 | NlinTS          |       0.5  |     4 |      8 |
|  4 | NlinTS          |       0.5  |     5 |      8 |
|  5 | NlinTS          |       0.5  |     6 |      8 |
|  6 | NlinTS          |       0.5  |     7 |      8 |
|  0 | statsmodels     |       0.8  |     1 |     10 |
|  1 | statsmodels     |       0.65 |     2 |     10 |
|  2 | statsmodels     |       0.55 |     3 |     10 |
|  3 | statsmodels     |       0.6  |     4 |     10 |
|  4 | statsmodels     |       0.5  |     5 |     10 |
|  5 | statsmodels     |       0.6  |     6 |     10 |
|  6 | statsmodels     |       0.5  |     7 |     10 |
|  0 | vars            |       0.8  |     1 |     10 |
|  1 | vars            |       0.8  |     2 |     10 |
|  2 | vars            |       0.75 |     3 |     10 |
|  3 | vars            |       0.65 |     4 |     10 |
|  4 | vars            |       0.65 |     5 |     10 |
|  5 | vars            |       0.65 |     6 |     10 |
|  6 | vars            |       0.65 |     7 |     10 |
|  0 | lmtest          |       0.8  |     1 |     10 |
|  1 | lmtest          |       0.8  |     2 |     10 |
|  2 | lmtest          |       0.75 |     3 |     10 |
|  3 | lmtest          |       0.65 |     4 |     10 |
|  4 | lmtest          |       0.65 |     5 |     10 |
|  5 | lmtest          |       0.65 |     6 |     10 |
|  6 | lmtest          |       0.65 |     7 |     10 |
|  0 | VLTimeCausality |       0.95 |     1 |     10 |
|  1 | VLTimeCausality |       0.95 |     2 |     10 |
|  2 | VLTimeCausality |       0.9  |     3 |     10 |
|  3 | VLTimeCausality |       0.85 |     4 |     10 |
|  4 | VLTimeCausality |       0.85 |     5 |     10 |
|  5 | VLTimeCausality |       0.85 |     6 |     10 |
|  6 | VLTimeCausality |       0.85 |     7 |     10 |
|  0 | NlinTS          |       0.5  |     1 |     10 |
|  1 | NlinTS          |       0.5  |     2 |     10 |
|  2 | NlinTS          |       0.5  |     3 |     10 |
|  3 | NlinTS          |       0.5  |     4 |     10 |
|  4 | NlinTS          |       0.5  |     5 |     10 |
|  5 | NlinTS          |       0.5  |     6 |     10 |
|  6 | NlinTS          |       0.5  |     7 |     10 |
|  0 | statsmodels     |       0.8  |     1 |     12 |
|  1 | statsmodels     |       0.65 |     2 |     12 |
|  2 | statsmodels     |       0.55 |     3 |     12 |
|  3 | statsmodels     |       0.55 |     4 |     12 |
|  4 | statsmodels     |       0.45 |     5 |     12 |
|  5 | statsmodels     |       0.55 |     6 |     12 |
|  6 | statsmodels     |       0.55 |     7 |     12 |
|  0 | vars            |       0.8  |     1 |     12 |
|  1 | vars            |       0.8  |     2 |     12 |
|  2 | vars            |       0.7  |     3 |     12 |
|  3 | vars            |       0.6  |     4 |     12 |
|  4 | vars            |       0.65 |     5 |     12 |
|  5 | vars            |       0.65 |     6 |     12 |
|  6 | vars            |       0.55 |     7 |     12 |
|  0 | lmtest          |       0.8  |     1 |     12 |
|  1 | lmtest          |       0.8  |     2 |     12 |
|  2 | lmtest          |       0.7  |     3 |     12 |
|  3 | lmtest          |       0.6  |     4 |     12 |
|  4 | lmtest          |       0.65 |     5 |     12 |
|  5 | lmtest          |       0.65 |     6 |     12 |
|  6 | lmtest          |       0.55 |     7 |     12 |
|  0 | VLTimeCausality |       0.9  |     1 |     12 |
|  1 | VLTimeCausality |       0.9  |     2 |     12 |
|  2 | VLTimeCausality |       0.8  |     3 |     12 |
|  3 | VLTimeCausality |       0.8  |     4 |     12 |
|  4 | VLTimeCausality |       0.8  |     5 |     12 |
|  5 | VLTimeCausality |       0.85 |     6 |     12 |
|  6 | VLTimeCausality |       0.85 |     7 |     12 |
|  0 | NlinTS          |       0.5  |     1 |     12 |
|  1 | NlinTS          |       0.5  |     2 |     12 |
|  2 | NlinTS          |       0.5  |     3 |     12 |
|  3 | NlinTS          |       0.5  |     4 |     12 |
|  4 | NlinTS          |       0.5  |     5 |     12 |
|  5 | NlinTS          |       0.5  |     6 |     12 |
|  6 | NlinTS          |       0.5  |     7 |     12 |
|  0 | statsmodels     |       0.8  |     1 |     14 |
|  1 | statsmodels     |       0.65 |     2 |     14 |
|  2 | statsmodels     |       0.5  |     3 |     14 |
|  3 | statsmodels     |       0.6  |     4 |     14 |
|  4 | statsmodels     |       0.5  |     5 |     14 |
|  5 | statsmodels     |       0.55 |     6 |     14 |
|  6 | statsmodels     |       0.55 |     7 |     14 |
|  0 | vars            |       0.8  |     1 |     14 |
|  1 | vars            |       0.8  |     2 |     14 |
|  2 | vars            |       0.7  |     3 |     14 |
|  3 | vars            |       0.65 |     4 |     14 |
|  4 | vars            |       0.55 |     5 |     14 |
|  5 | vars            |       0.6  |     6 |     14 |
|  6 | vars            |       0.5  |     7 |     14 |
|  0 | lmtest          |       0.8  |     1 |     14 |
|  1 | lmtest          |       0.8  |     2 |     14 |
|  2 | lmtest          |       0.7  |     3 |     14 |
|  3 | lmtest          |       0.65 |     4 |     14 |
|  4 | lmtest          |       0.55 |     5 |     14 |
|  5 | lmtest          |       0.6  |     6 |     14 |
|  6 | lmtest          |       0.5  |     7 |     14 |
|  0 | VLTimeCausality |       0.8  |     1 |     14 |
|  1 | VLTimeCausality |       0.8  |     2 |     14 |
|  2 | VLTimeCausality |       0.7  |     3 |     14 |
|  3 | VLTimeCausality |       0.8  |     4 |     14 |
|  4 | VLTimeCausality |       0.8  |     5 |     14 |
|  5 | VLTimeCausality |       0.85 |     6 |     14 |
|  6 | VLTimeCausality |       0.8  |     7 |     14 |
|  0 | NlinTS          |       0.5  |     1 |     14 |
|  1 | NlinTS          |       0.5  |     2 |     14 |
|  2 | NlinTS          |       0.5  |     3 |     14 |
|  3 | NlinTS          |       0.5  |     4 |     14 |
|  4 | NlinTS          |       0.5  |     5 |     14 |
|  5 | NlinTS          |       0.5  |     6 |     14 |
|  6 | NlinTS          |       0.5  |     7 |     14 |
|  0 | statsmodels     |       0.75 |     1 |     16 |
|  1 | statsmodels     |       0.6  |     2 |     16 |
|  2 | statsmodels     |       0.5  |     3 |     16 |
|  3 | statsmodels     |       0.6  |     4 |     16 |
|  4 | statsmodels     |       0.5  |     5 |     16 |
|  5 | statsmodels     |       0.55 |     6 |     16 |
|  6 | statsmodels     |       0.55 |     7 |     16 |
|  0 | vars            |       0.75 |     1 |     16 |
|  1 | vars            |       0.8  |     2 |     16 |
|  2 | vars            |       0.65 |     3 |     16 |
|  3 | vars            |       0.6  |     4 |     16 |
|  4 | vars            |       0.55 |     5 |     16 |
|  5 | vars            |       0.5  |     6 |     16 |
|  6 | vars            |       0.45 |     7 |     16 |
|  0 | lmtest          |       0.75 |     1 |     16 |
|  1 | lmtest          |       0.8  |     2 |     16 |
|  2 | lmtest          |       0.65 |     3 |     16 |
|  3 | lmtest          |       0.6  |     4 |     16 |
|  4 | lmtest          |       0.55 |     5 |     16 |
|  5 | lmtest          |       0.5  |     6 |     16 |
|  6 | lmtest          |       0.45 |     7 |     16 |
|  0 | VLTimeCausality |       0.8  |     1 |     16 |
|  1 | VLTimeCausality |       0.8  |     2 |     16 |
|  2 | VLTimeCausality |       0.7  |     3 |     16 |
|  3 | VLTimeCausality |       0.8  |     4 |     16 |
|  4 | VLTimeCausality |       0.8  |     5 |     16 |
|  5 | VLTimeCausality |       0.8  |     6 |     16 |
|  6 | VLTimeCausality |       0.8  |     7 |     16 |
|  0 | NlinTS          |       0.5  |     1 |     16 |
|  1 | NlinTS          |       0.5  |     2 |     16 |
|  2 | NlinTS          |       0.5  |     3 |     16 |
|  3 | NlinTS          |       0.5  |     4 |     16 |
|  4 | NlinTS          |       0.5  |     5 |     16 |
|  5 | NlinTS          |       0.5  |     6 |     16 |
|  6 | NlinTS          |       0.5  |     7 |     16 |
|  0 | statsmodels     |       0.75 |     1 |     18 |
|  1 | statsmodels     |       0.6  |     2 |     18 |
|  2 | statsmodels     |       0.5  |     3 |     18 |
|  3 | statsmodels     |       0.6  |     4 |     18 |
|  4 | statsmodels     |       0.5  |     5 |     18 |
|  5 | statsmodels     |       0.55 |     6 |     18 |
|  6 | statsmodels     |       0.5  |     7 |     18 |
|  0 | vars            |       0.75 |     1 |     18 |
|  1 | vars            |       0.75 |     2 |     18 |
|  2 | vars            |       0.65 |     3 |     18 |
|  3 | vars            |       0.6  |     4 |     18 |
|  4 | vars            |       0.5  |     5 |     18 |
|  5 | vars            |       0.5  |     6 |     18 |
|  6 | vars            |       0.45 |     7 |     18 |
|  0 | lmtest          |       0.75 |     1 |     18 |
|  1 | lmtest          |       0.75 |     2 |     18 |
|  2 | lmtest          |       0.65 |     3 |     18 |
|  3 | lmtest          |       0.6  |     4 |     18 |
|  4 | lmtest          |       0.5  |     5 |     18 |
|  5 | lmtest          |       0.5  |     6 |     18 |
|  6 | lmtest          |       0.45 |     7 |     18 |
|  0 | VLTimeCausality |       0.8  |     1 |     18 |
|  1 | VLTimeCausality |       0.8  |     2 |     18 |
|  2 | VLTimeCausality |       0.7  |     3 |     18 |
|  3 | VLTimeCausality |       0.8  |     4 |     18 |
|  4 | VLTimeCausality |       0.75 |     5 |     18 |
|  5 | VLTimeCausality |       0.8  |     6 |     18 |
|  6 | VLTimeCausality |       0.8  |     7 |     18 |
|  0 | NlinTS          |       0.5  |     1 |     18 |
|  1 | NlinTS          |       0.5  |     2 |     18 |
|  2 | NlinTS          |       0.5  |     3 |     18 |
|  3 | NlinTS          |       0.5  |     4 |     18 |
|  4 | NlinTS          |       0.5  |     5 |     18 |
|  5 | NlinTS          |       0.5  |     6 |     18 |
|  6 | NlinTS          |       0.5  |     7 |     18 |
|  0 | statsmodels     |       0.75 |     1 |     20 |
|  1 | statsmodels     |       0.55 |     2 |     20 |
|  2 | statsmodels     |       0.55 |     3 |     20 |
|  3 | statsmodels     |       0.6  |     4 |     20 |
|  4 | statsmodels     |       0.5  |     5 |     20 |
|  5 | statsmodels     |       0.55 |     6 |     20 |
|  6 | statsmodels     |       0.5  |     7 |     20 |
|  0 | vars            |       0.75 |     1 |     20 |
|  1 | vars            |       0.75 |     2 |     20 |
|  2 | vars            |       0.65 |     3 |     20 |
|  3 | vars            |       0.55 |     4 |     20 |
|  4 | vars            |       0.5  |     5 |     20 |
|  5 | vars            |       0.5  |     6 |     20 |
|  6 | vars            |       0.45 |     7 |     20 |
|  0 | lmtest          |       0.75 |     1 |     20 |
|  1 | lmtest          |       0.75 |     2 |     20 |
|  2 | lmtest          |       0.65 |     3 |     20 |
|  3 | lmtest          |       0.55 |     4 |     20 |
|  4 | lmtest          |       0.5  |     5 |     20 |
|  5 | lmtest          |       0.45 |     6 |     20 |
|  6 | lmtest          |       0.45 |     7 |     20 |
|  0 | VLTimeCausality |       0.8  |     1 |     20 |
|  1 | VLTimeCausality |       0.8  |     2 |     20 |
|  2 | VLTimeCausality |       0.7  |     3 |     20 |
|  3 | VLTimeCausality |       0.75 |     4 |     20 |
|  4 | VLTimeCausality |       0.75 |     5 |     20 |
|  5 | VLTimeCausality |       0.8  |     6 |     20 |
|  6 | VLTimeCausality |       0.8  |     7 |     20 |
|  0 | NlinTS          |       0.5  |     1 |     20 |
|  1 | NlinTS          |       0.5  |     2 |     20 |
|  2 | NlinTS          |       0.5  |     3 |     20 |
|  3 | NlinTS          |       0.5  |     4 |     20 |
|  4 | NlinTS          |       0.5  |     5 |     20 |
|  5 | NlinTS          |       0.5  |     6 |     20 |
|  6 | NlinTS          |       0.5  |     7 |     20 |
+----+-----------------+------------+-------+--------+
