+----+-----------------+----------------+-------------+---------------+-------+----------------------+
|    | Package         | Type           |        Corr |             p |   Lag |   significance level |
| 13 | NlinTS          | Pearson        | nan         | nan           |     7 |                 0.04 |
|  0 | statsmodels     | Point-Biserial |  -0.624155  |   0.00326802  |     1 |                 0.05 |
|  1 | statsmodels     | Pearson        |  -0.682698  |   0.000910102 |     1 |                 0.05 |
|  2 | statsmodels     | Point-Biserial |  -0.54793   |   0.000252434 |     2 |                 0.05 |
|  3 | statsmodels     | Pearson        |  -0.615006  |   2.41474e-05 |     2 |                 0.05 |
|  4 | statsmodels     | Point-Biserial |  -0.493341  |   6.19977e-05 |     3 |                 0.05 |
|  5 | statsmodels     | Pearson        |  -0.592232  |   6.21587e-07 |     3 |                 0.05 |
|  6 | statsmodels     | Point-Biserial |  -0.415293  |   0.000127857 |     4 |                 0.05 |
|  7 | statsmodels     | Pearson        |  -0.546778  |   1.5438e-07  |     4 |                 0.05 |
|  8 | statsmodels     | Point-Biserial |  -0.417813  |   1.52424e-05 |     5 |                 0.05 |
