+----+-------------+----------------+-----------+-------------+-------+----------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   significance level |
| 13 | statsmodels | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.03 |
|  0 | vars        | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.03 |
|  1 | vars        | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.03 |
|  2 | vars        | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.03 |
|  3 | vars        | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.03 |
|  4 | vars        | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.03 |
|  5 | vars        | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.03 |
|  6 | vars        | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.03 |
|  7 | vars        | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.03 |
|  8 | vars        | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.03 |
|  9 | vars        | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.03 |
| 10 | vars        | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.03 |
| 11 | vars        | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.03 |
| 12 | vars        | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.03 |
| 13 | vars        | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.03 |
|  0 | statsmodels | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.04 |
|  1 | statsmodels | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.04 |
|  2 | statsmodels | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.04 |
|  3 | statsmodels | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.04 |
|  4 | statsmodels | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.04 |
|  5 | statsmodels | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.04 |
|  6 | statsmodels | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.04 |
|  7 | statsmodels | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.04 |
|  8 | statsmodels | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.04 |
|  9 | statsmodels | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.04 |
| 10 | statsmodels | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.04 |
| 11 | statsmodels | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.04 |
| 12 | statsmodels | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.04 |
| 13 | statsmodels | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.04 |
|  0 | vars        | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.04 |
|  1 | vars        | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.04 |
|  2 | vars        | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.04 |
|  3 | vars        | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.04 |
|  4 | vars        | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.04 |
|  5 | vars        | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.04 |
|  6 | vars        | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.04 |
|  7 | vars        | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.04 |
|  8 | vars        | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.04 |
|  9 | vars        | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.04 |
| 10 | vars        | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.04 |
| 11 | vars        | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.04 |
| 12 | vars        | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.04 |
| 13 | vars        | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.04 |
|  0 | statsmodels | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.05 |
|  1 | statsmodels | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.05 |
|  2 | statsmodels | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.05 |
|  3 | statsmodels | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.05 |
|  4 | statsmodels | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.05 |
|  5 | statsmodels | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.05 |
|  6 | statsmodels | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.05 |
|  7 | statsmodels | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.05 |
|  8 | statsmodels | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.05 |
|  9 | statsmodels | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.05 |
| 10 | statsmodels | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.05 |
| 11 | statsmodels | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.05 |
| 12 | statsmodels | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.05 |
| 13 | statsmodels | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.05 |
|  0 | vars        | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.05 |
|  1 | vars        | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.05 |
|  2 | vars        | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.05 |
|  3 | vars        | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.05 |
|  4 | vars        | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.05 |
|  5 | vars        | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.05 |
|  6 | vars        | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.05 |
|  7 | vars        | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.05 |
|  8 | vars        | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.05 |
|  9 | vars        | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.05 |
| 10 | vars        | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.05 |
| 11 | vars        | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.05 |
| 12 | vars        | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.05 |
| 13 | vars        | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.05 |
|  0 | statsmodels | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.06 |
|  1 | statsmodels | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.06 |
|  2 | statsmodels | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.06 |
|  3 | statsmodels | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.06 |
|  4 | statsmodels | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.06 |
|  5 | statsmodels | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.06 |
|  6 | statsmodels | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.06 |
|  7 | statsmodels | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.06 |
|  8 | statsmodels | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.06 |
|  9 | statsmodels | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.06 |
| 10 | statsmodels | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.06 |
| 11 | statsmodels | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.06 |
| 12 | statsmodels | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.06 |
| 13 | statsmodels | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.06 |
|  0 | vars        | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.06 |
|  1 | vars        | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.06 |
|  2 | vars        | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.06 |
|  3 | vars        | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.06 |
|  4 | vars        | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.06 |
|  5 | vars        | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.06 |
|  6 | vars        | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.06 |
|  7 | vars        | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.06 |
|  8 | vars        | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.06 |
|  9 | vars        | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.06 |
| 10 | vars        | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.06 |
| 11 | vars        | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.06 |
