+----+-------------+------------+-------+----------------------+
|    | Package     |   Accuracy |   Lag |   significance level |
|  0 | statsmodels |        0.7 |     1 |                 0.09 |
|  1 | statsmodels |        0.7 |     2 |                 0.09 |
|  2 | statsmodels |        0.7 |     3 |                 0.09 |
|  3 | statsmodels |        0.7 |     4 |                 0.09 |
|  4 | statsmodels |        0.7 |     5 |                 0.09 |
|  5 | statsmodels |        0.7 |     6 |                 0.09 |
|  6 | statsmodels |        0.7 |     7 |                 0.09 |
|  0 | vars        |        0.7 |     1 |                 0.09 |
|  1 | vars        |        0.7 |     2 |                 0.09 |
|  2 | vars        |        0.7 |     3 |                 0.09 |
|  3 | vars        |        0.7 |     4 |                 0.09 |
|  4 | vars        |        0.7 |     5 |                 0.09 |
|  5 | vars        |        0.7 |     6 |                 0.09 |
|  6 | vars        |        0.7 |     7 |                 0.09 |
|  0 | statsmodels |        0.7 |     1 |                 0.1  |
|  1 | statsmodels |        0.7 |     2 |                 0.1  |
|  2 | statsmodels |        0.7 |     3 |                 0.1  |
|  3 | statsmodels |        0.7 |     4 |                 0.1  |
|  4 | statsmodels |        0.7 |     5 |                 0.1  |
|  5 | statsmodels |        0.7 |     6 |                 0.1  |
|  6 | statsmodels |        0.7 |     7 |                 0.1  |
|  0 | vars        |        0.7 |     1 |                 0.1  |
|  1 | vars        |        0.7 |     2 |                 0.1  |
|  2 | vars        |        0.7 |     3 |                 0.1  |
|  3 | vars        |        0.7 |     4 |                 0.1  |
|  4 | vars        |        0.7 |     5 |                 0.1  |
|  5 | vars        |        0.7 |     6 |                 0.1  |
|  6 | vars        |        0.7 |     7 |                 0.1  |
+----+-------------+------------+-------+----------------------+
