+----+-----------------+------------+-------+------------------+
|    | Package         |   Accuracy |   Lag |   decay_strength |
|  5 | statsmodels     |       0.65 |     6 |          1.66667 |
|  6 | statsmodels     |       0.6  |     7 |          1.66667 |
|  0 | vars            |       0.9  |     1 |          1.66667 |
|  1 | vars            |       0.95 |     2 |          1.66667 |
|  2 | vars            |       0.8  |     3 |          1.66667 |
|  3 | vars            |       0.75 |     4 |          1.66667 |
|  4 | vars            |       0.75 |     5 |          1.66667 |
|  5 | vars            |       0.75 |     6 |          1.66667 |
|  6 | vars            |       0.7  |     7 |          1.66667 |
|  0 | lmtest          |       0.9  |     1 |          1.66667 |
|  1 | lmtest          |       0.95 |     2 |          1.66667 |
|  2 | lmtest          |       0.8  |     3 |          1.66667 |
|  3 | lmtest          |       0.75 |     4 |          1.66667 |
|  4 | lmtest          |       0.75 |     5 |          1.66667 |
|  5 | lmtest          |       0.75 |     6 |          1.66667 |
|  6 | lmtest          |       0.7  |     7 |          1.66667 |
|  0 | VLTimeCausality |       1    |     1 |          1.66667 |
|  1 | VLTimeCausality |       1    |     2 |          1.66667 |
|  2 | VLTimeCausality |       0.9  |     3 |          1.66667 |
|  3 | VLTimeCausality |       0.85 |     4 |          1.66667 |
|  4 | VLTimeCausality |       0.85 |     5 |          1.66667 |
|  5 | VLTimeCausality |       0.85 |     6 |          1.66667 |
|  6 | VLTimeCausality |       0.8  |     7 |          1.66667 |
|  0 | NlinTS          |       0.5  |     1 |          1.66667 |
|  1 | NlinTS          |       0.5  |     2 |          1.66667 |
|  2 | NlinTS          |       0.5  |     3 |          1.66667 |
|  3 | NlinTS          |       0.5  |     4 |          1.66667 |
|  4 | NlinTS          |       0.5  |     5 |          1.66667 |
|  5 | NlinTS          |       0.5  |     6 |          1.66667 |
|  6 | NlinTS          |       0.5  |     7 |          1.66667 |
|  0 | statsmodels     |       0.9  |     1 |          1.88889 |
|  1 | statsmodels     |       0.7  |     2 |          1.88889 |
|  2 | statsmodels     |       0.6  |     3 |          1.88889 |
|  3 | statsmodels     |       0.6  |     4 |          1.88889 |
|  4 | statsmodels     |       0.6  |     5 |          1.88889 |
|  5 | statsmodels     |       0.6  |     6 |          1.88889 |
|  6 | statsmodels     |       0.55 |     7 |          1.88889 |
|  0 | vars            |       0.9  |     1 |          1.88889 |
|  1 | vars            |       0.95 |     2 |          1.88889 |
|  2 | vars            |       0.8  |     3 |          1.88889 |
|  3 | vars            |       0.75 |     4 |          1.88889 |
|  4 | vars            |       0.75 |     5 |          1.88889 |
|  5 | vars            |       0.65 |     6 |          1.88889 |
|  6 | vars            |       0.7  |     7 |          1.88889 |
|  0 | lmtest          |       0.9  |     1 |          1.88889 |
|  1 | lmtest          |       0.95 |     2 |          1.88889 |
|  2 | lmtest          |       0.8  |     3 |          1.88889 |
|  3 | lmtest          |       0.8  |     4 |          1.88889 |
|  4 | lmtest          |       0.75 |     5 |          1.88889 |
|  5 | lmtest          |       0.65 |     6 |          1.88889 |
|  6 | lmtest          |       0.7  |     7 |          1.88889 |
|  0 | VLTimeCausality |       1    |     1 |          1.88889 |
|  1 | VLTimeCausality |       1    |     2 |          1.88889 |
|  2 | VLTimeCausality |       0.9  |     3 |          1.88889 |
|  3 | VLTimeCausality |       0.85 |     4 |          1.88889 |
|  4 | VLTimeCausality |       0.85 |     5 |          1.88889 |
|  5 | VLTimeCausality |       0.8  |     6 |          1.88889 |
|  6 | VLTimeCausality |       0.85 |     7 |          1.88889 |
|  0 | NlinTS          |       0.5  |     1 |          1.88889 |
|  1 | NlinTS          |       0.5  |     2 |          1.88889 |
|  2 | NlinTS          |       0.5  |     3 |          1.88889 |
|  3 | NlinTS          |       0.5  |     4 |          1.88889 |
|  4 | NlinTS          |       0.5  |     5 |          1.88889 |
|  5 | NlinTS          |       0.5  |     6 |          1.88889 |
|  6 | NlinTS          |       0.5  |     7 |          1.88889 |
|  0 | statsmodels     |       0.9  |     1 |          2.11111 |
|  1 | statsmodels     |       0.7  |     2 |          2.11111 |
|  2 | statsmodels     |       0.65 |     3 |          2.11111 |
|  3 | statsmodels     |       0.6  |     4 |          2.11111 |
|  4 | statsmodels     |       0.65 |     5 |          2.11111 |
|  5 | statsmodels     |       0.6  |     6 |          2.11111 |
|  6 | statsmodels     |       0.55 |     7 |          2.11111 |
|  0 | vars            |       0.9  |     1 |          2.11111 |
|  1 | vars            |       0.95 |     2 |          2.11111 |
|  2 | vars            |       0.8  |     3 |          2.11111 |
|  3 | vars            |       0.8  |     4 |          2.11111 |
|  4 | vars            |       0.7  |     5 |          2.11111 |
|  5 | vars            |       0.65 |     6 |          2.11111 |
|  6 | vars            |       0.7  |     7 |          2.11111 |
|  0 | lmtest          |       0.9  |     1 |          2.11111 |
|  1 | lmtest          |       0.95 |     2 |          2.11111 |
|  2 | lmtest          |       0.8  |     3 |          2.11111 |
|  3 | lmtest          |       0.8  |     4 |          2.11111 |
|  4 | lmtest          |       0.7  |     5 |          2.11111 |
|  5 | lmtest          |       0.65 |     6 |          2.11111 |
|  6 | lmtest          |       0.7  |     7 |          2.11111 |
|  0 | VLTimeCausality |       1    |     1 |          2.11111 |
|  1 | VLTimeCausality |       1    |     2 |          2.11111 |
|  2 | VLTimeCausality |       0.9  |     3 |          2.11111 |
|  3 | VLTimeCausality |       0.85 |     4 |          2.11111 |
|  4 | VLTimeCausality |       0.8  |     5 |          2.11111 |
|  5 | VLTimeCausality |       0.8  |     6 |          2.11111 |
|  6 | VLTimeCausality |       0.85 |     7 |          2.11111 |
|  0 | NlinTS          |       0.5  |     1 |          2.11111 |
|  1 | NlinTS          |       0.5  |     2 |          2.11111 |
|  2 | NlinTS          |       0.5  |     3 |          2.11111 |
|  3 | NlinTS          |       0.5  |     4 |          2.11111 |
|  4 | NlinTS          |       0.5  |     5 |          2.11111 |
|  5 | NlinTS          |       0.5  |     6 |          2.11111 |
|  6 | NlinTS          |       0.5  |     7 |          2.11111 |
|  0 | statsmodels     |       0.9  |     1 |          2.33333 |
|  1 | statsmodels     |       0.7  |     2 |          2.33333 |
|  2 | statsmodels     |       0.65 |     3 |          2.33333 |
|  3 | statsmodels     |       0.6  |     4 |          2.33333 |
|  4 | statsmodels     |       0.65 |     5 |          2.33333 |
|  5 | statsmodels     |       0.6  |     6 |          2.33333 |
|  6 | statsmodels     |       0.55 |     7 |          2.33333 |
|  0 | vars            |       0.9  |     1 |          2.33333 |
|  1 | vars            |       0.95 |     2 |          2.33333 |
|  2 | vars            |       0.85 |     3 |          2.33333 |
|  3 | vars            |       0.8  |     4 |          2.33333 |
|  4 | vars            |       0.7  |     5 |          2.33333 |
|  5 | vars            |       0.65 |     6 |          2.33333 |
|  6 | vars            |       0.7  |     7 |          2.33333 |
|  0 | lmtest          |       0.9  |     1 |          2.33333 |
|  1 | lmtest          |       0.95 |     2 |          2.33333 |
|  2 | lmtest          |       0.85 |     3 |          2.33333 |
|  3 | lmtest          |       0.8  |     4 |          2.33333 |
|  4 | lmtest          |       0.65 |     5 |          2.33333 |
|  5 | lmtest          |       0.65 |     6 |          2.33333 |
|  6 | lmtest          |       0.7  |     7 |          2.33333 |
|  0 | VLTimeCausality |       1    |     1 |          2.33333 |
|  1 | VLTimeCausality |       1    |     2 |          2.33333 |
|  2 | VLTimeCausality |       0.9  |     3 |          2.33333 |
|  3 | VLTimeCausality |       0.85 |     4 |          2.33333 |
|  4 | VLTimeCausality |       0.8  |     5 |          2.33333 |
|  5 | VLTimeCausality |       0.8  |     6 |          2.33333 |
|  6 | VLTimeCausality |       0.85 |     7 |          2.33333 |
|  0 | NlinTS          |       0.5  |     1 |          2.33333 |
|  1 | NlinTS          |       0.5  |     2 |          2.33333 |
|  2 | NlinTS          |       0.5  |     3 |          2.33333 |
|  3 | NlinTS          |       0.5  |     4 |          2.33333 |
|  4 | NlinTS          |       0.5  |     5 |          2.33333 |
|  5 | NlinTS          |       0.5  |     6 |          2.33333 |
|  6 | NlinTS          |       0.5  |     7 |          2.33333 |
|  0 | statsmodels     |       0.9  |     1 |          2.55556 |
|  1 | statsmodels     |       0.7  |     2 |          2.55556 |
|  2 | statsmodels     |       0.65 |     3 |          2.55556 |
|  3 | statsmodels     |       0.6  |     4 |          2.55556 |
|  4 | statsmodels     |       0.65 |     5 |          2.55556 |
|  5 | statsmodels     |       0.6  |     6 |          2.55556 |
|  6 | statsmodels     |       0.55 |     7 |          2.55556 |
|  0 | vars            |       0.9  |     1 |          2.55556 |
|  1 | vars            |       0.95 |     2 |          2.55556 |
|  2 | vars            |       0.85 |     3 |          2.55556 |
|  3 | vars            |       0.75 |     4 |          2.55556 |
|  4 | vars            |       0.65 |     5 |          2.55556 |
|  5 | vars            |       0.65 |     6 |          2.55556 |
|  6 | vars            |       0.65 |     7 |          2.55556 |
|  0 | lmtest          |       0.9  |     1 |          2.55556 |
|  1 | lmtest          |       0.9  |     2 |          2.55556 |
|  2 | lmtest          |       0.85 |     3 |          2.55556 |
|  3 | lmtest          |       0.75 |     4 |          2.55556 |
|  4 | lmtest          |       0.65 |     5 |          2.55556 |
|  5 | lmtest          |       0.65 |     6 |          2.55556 |
|  6 | lmtest          |       0.65 |     7 |          2.55556 |
|  0 | VLTimeCausality |       1    |     1 |          2.55556 |
|  1 | VLTimeCausality |       1    |     2 |          2.55556 |
|  2 | VLTimeCausality |       0.9  |     3 |          2.55556 |
|  3 | VLTimeCausality |       0.8  |     4 |          2.55556 |
|  4 | VLTimeCausality |       0.8  |     5 |          2.55556 |
|  5 | VLTimeCausality |       0.8  |     6 |          2.55556 |
|  6 | VLTimeCausality |       0.85 |     7 |          2.55556 |
|  0 | NlinTS          |       0.5  |     1 |          2.55556 |
|  1 | NlinTS          |       0.5  |     2 |          2.55556 |
|  2 | NlinTS          |       0.5  |     3 |          2.55556 |
