+----+-----------------+----------------+--------------+-------------+-------+------------------+
|    | Package         | Type           |         Corr |           p |   Lag |   decay_strength |
|  7 | vars            | Pearson        | -0.505977    | 1.68593e-06 |     4 |          1.44444 |
|  8 | vars            | Point-Biserial | -0.261101    | 0.00869382  |     5 |          1.44444 |
|  9 | vars            | Pearson        | -0.537745    | 7.9627e-09  |     5 |          1.44444 |
| 10 | vars            | Point-Biserial | -0.24366     | 0.00732348  |     6 |          1.44444 |
| 11 | vars            | Pearson        | -0.525639    | 7.07054e-10 |     6 |          1.44444 |
| 12 | vars            | Point-Biserial | -0.213337    | 0.0113797   |     7 |          1.44444 |
| 13 | vars            | Pearson        | -0.488246    | 9.39645e-10 |     7 |          1.44444 |
|  0 | lmtest          | Point-Biserial | -0.566891    | 0.00915019  |     1 |          1.44444 |
|  1 | lmtest          | Pearson        | -0.73077     | 0.000252577 |     1 |          1.44444 |
|  2 | lmtest          | Point-Biserial | -0.369262    | 0.0190316   |     2 |          1.44444 |
|  3 | lmtest          | Pearson        | -0.542269    | 0.000300958 |     2 |          1.44444 |
|  4 | lmtest          | Point-Biserial | -0.291829    | 0.0236704   |     3 |          1.44444 |
|  5 | lmtest          | Pearson        | -0.479104    | 0.000107648 |     3 |          1.44444 |
|  6 | lmtest          | Point-Biserial | -0.266773    | 0.016754    |     4 |          1.44444 |
|  7 | lmtest          | Pearson        | -0.505942    | 1.68923e-06 |     4 |          1.44444 |
|  8 | lmtest          | Point-Biserial | -0.26109     | 0.00869663  |     5 |          1.44444 |
|  9 | lmtest          | Pearson        | -0.53774     | 7.96621e-09 |     5 |          1.44444 |
| 10 | lmtest          | Point-Biserial | -0.243617    | 0.00733416  |     6 |          1.44444 |
| 11 | lmtest          | Pearson        | -0.525616    | 7.08457e-10 |     6 |          1.44444 |
| 12 | lmtest          | Point-Biserial | -0.213308    | 0.0113914   |     7 |          1.44444 |
| 13 | lmtest          | Pearson        | -0.48822     | 9.41828e-10 |     7 |          1.44444 |
|  0 | VLTimeCausality | Point-Biserial | -0.686628    | 0.000826871 |     1 |          1.44444 |
|  1 | VLTimeCausality | Pearson        | -0.919108    | 1.04722e-08 |     1 |          1.44444 |
|  2 | VLTimeCausality | Point-Biserial | -0.425197    | 0.00623715  |     2 |          1.44444 |
|  3 | VLTimeCausality | Pearson        | -0.606181    | 3.39033e-05 |     2 |          1.44444 |
|  4 | VLTimeCausality | Point-Biserial | -0.372755    | 0.00335583  |     3 |          1.44444 |
|  5 | VLTimeCausality | Pearson        | -0.435442    | 0.000506641 |     3 |          1.44444 |
|  6 | VLTimeCausality | Point-Biserial | -0.331269    | 0.00268596  |     4 |          1.44444 |
|  7 | VLTimeCausality | Pearson        | -0.401272    | 0.000225219 |     4 |          1.44444 |
|  8 | VLTimeCausality | Point-Biserial | -0.352397    | 0.000323484 |     5 |          1.44444 |
|  9 | VLTimeCausality | Pearson        | -0.461857    | 1.31904e-06 |     5 |          1.44444 |
| 10 | VLTimeCausality | Point-Biserial | -0.313177    | 0.000496181 |     6 |          1.44444 |
| 11 | VLTimeCausality | Pearson        | -0.400758    | 5.74033e-06 |     6 |          1.44444 |
| 12 | VLTimeCausality | Point-Biserial | -0.308385    | 0.0002098   |     7 |          1.44444 |
| 13 | VLTimeCausality | Pearson        | -0.413847    | 3.72376e-07 |     7 |          1.44444 |
|  0 | NlinTS          | Point-Biserial |  0.311244    | 0.181626    |     1 |          1.44444 |
|  1 | NlinTS          | Pearson        | -0.0750499   | 0.753167    |     1 |          1.44444 |
|  2 | NlinTS          | Point-Biserial |  0.148412    | 0.360744    |     2 |          1.44444 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |          1.44444 |
|  4 | NlinTS          | Point-Biserial |  0.0813734   | 0.536521    |     3 |          1.44444 |
|  5 | NlinTS          | Pearson        |  0.0948736   | 0.470874    |     3 |          1.44444 |
|  6 | NlinTS          | Point-Biserial |  0.0635498   | 0.575461    |     4 |          1.44444 |
|  7 | NlinTS          | Pearson        | -3.46945e-18 | 1           |     4 |          1.44444 |
|  8 | NlinTS          | Point-Biserial |  0.0757802   | 0.453644    |     5 |          1.44444 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |          1.44444 |
| 10 | NlinTS          | Point-Biserial |  0.0851491   | 0.355133    |     6 |          1.44444 |
