+----+-------------+----------------+-----------+-------------+-------+------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   decay_strength |
|  1 | vars        | Pearson        | -0.541172 | 0.0137352   |     1 |          1.44444 |
|  2 | vars        | Point-Biserial | -0.327048 | 0.0394107   |     2 |          1.44444 |
|  3 | vars        | Pearson        | -0.509089 | 0.000794419 |     2 |          1.44444 |
|  4 | vars        | Point-Biserial | -0.289877 | 0.0246644   |     3 |          1.44444 |
|  5 | vars        | Pearson        | -0.499793 | 4.78882e-05 |     3 |          1.44444 |
|  6 | vars        | Point-Biserial | -0.264872 | 0.0175784   |     4 |          1.44444 |
|  7 | vars        | Pearson        | -0.499166 | 2.43999e-06 |     4 |          1.44444 |
|  8 | vars        | Point-Biserial | -0.246148 | 0.0135628   |     5 |          1.44444 |
|  9 | vars        | Pearson        | -0.500051 | 1.17648e-07 |     5 |          1.44444 |
| 10 | vars        | Point-Biserial | -0.231521 | 0.0109495   |     6 |          1.44444 |
| 11 | vars        | Pearson        | -0.501874 | 5.23264e-09 |     6 |          1.44444 |
| 12 | vars        | Point-Biserial | -0.219635 | 0.00912399  |     7 |          1.44444 |
| 13 | vars        | Pearson        | -0.496506 | 4.40863e-10 |     7 |          1.44444 |
|  0 | statsmodels | Point-Biserial | -0.390504 | 0.0887      |     1 |          1.66667 |
|  1 | statsmodels | Pearson        | -0.54213  | 0.0135365   |     1 |          1.66667 |
|  2 | statsmodels | Point-Biserial | -0.316906 | 0.0463248   |     2 |          1.66667 |
|  3 | statsmodels | Pearson        | -0.508975 | 0.000796931 |     2 |          1.66667 |
|  4 | statsmodels | Point-Biserial | -0.274961 | 0.0334863   |     3 |          1.66667 |
|  5 | statsmodels | Pearson        | -0.499111 | 4.92259e-05 |     3 |          1.66667 |
|  6 | statsmodels | Point-Biserial | -0.247479 | 0.0268815   |     4 |          1.66667 |
|  7 | statsmodels | Pearson        | -0.498357 | 2.54812e-06 |     4 |          1.66667 |
|  8 | statsmodels | Point-Biserial | -0.227403 | 0.0228856   |     5 |          1.66667 |
|  9 | statsmodels | Pearson        | -0.49921  | 1.24473e-07 |     5 |          1.66667 |
| 10 | statsmodels | Point-Biserial | -0.211969 | 0.0201161   |     6 |          1.66667 |
| 11 | statsmodels | Pearson        | -0.500277 | 5.95335e-09 |     6 |          1.66667 |
| 12 | statsmodels | Point-Biserial | -0.200179 | 0.0177225   |     7 |          1.66667 |
| 13 | statsmodels | Pearson        | -0.493239 | 5.96115e-10 |     7 |          1.66667 |
|  0 | vars        | Point-Biserial | -0.390504 | 0.0887      |     1 |          1.66667 |
|  1 | vars        | Pearson        | -0.54213  | 0.0135365   |     1 |          1.66667 |
|  2 | vars        | Point-Biserial | -0.316906 | 0.0463248   |     2 |          1.66667 |
|  3 | vars        | Pearson        | -0.508975 | 0.000796931 |     2 |          1.66667 |
|  4 | vars        | Point-Biserial | -0.274961 | 0.0334863   |     3 |          1.66667 |
